ID,Title,Url,Source,Description,Date,Article,Sentiment
21,"Axis Bank stake sale fetches Rs 5,600 cr",http://www.financialexpress.com/news/axis-bank-stake-sale-fetches-rs-5600-cr/1234933,Financial Express,"In a last-minute rush to meet the revised disinvestment and fiscal deficit targets before the year ends, the government successfully offloaded a 9% stake in Axis Bank held by the Specified Undertaking of Unit Trust of India (SUUTI), helping the exchequer ...",2014-03-21T18:54:34Z,"In a last-minute rush to meet the revised disinvestment and fiscal deficit targets before the year ends, the government successfully offloaded a 9% stake in Axis Bank held by the Specified Undertaking of Unit Trust of India (SUUTI), helping the exchequer raise R5,600 crore on Friday. Separately, the Centre raised R4,000 crore via the CPSE exchange-traded fund (ETF) with the issue getting oversubscribed on Friday. After the Axis Bank deal and the CPSE ETF, proceeds from disinvestment have exceeded the FY14 revised estimates by about R3,800 crore as on Friday. The revised estimate from stake sale in PSUs and residual stake sale in non-government companies was R19,027 crore, and by Friday evening, the government had earned R22,856 crore. However, government sources told FE that the Centre will refund any amount above R3,000 crore from the CPSE ETF, which comprises scrips of 10 state-owned companies, namely ONGC, Coal India, GAIL, REC, Oil India, Container Corp, Power Finance Corp, Indian Oil, Engineers India and Bharat Electronics. “So far, we have received about R4,000 crore. But we have a provision for this ETF where we will have to refund any amount over R3,000 crore. Hence, we will refund the balance amount,” a finance ministry official said. The government sold 4.22 crore shares in Axis Bank — the third largest private sector lender by assets — held by various schemes of the SUUTI via the block trading facility on stock exchanges at an average price of R1,315.193 per share. “There was massive participation from foreign institutional investors (FIIs) in the Axis Bank deal. This includes the likes of global long-only funds who have tremendous faith in the fundamentals on the bank,” a person familiar with the deal said on conditions of anonymity. Life Insurance Corporation of India (LIC) reportedly bought Axis Bank shares worth R1,122.37 crore, showed bulk/block deal data available on the BSE. The insurance behemoth purchased 85.46 lakh shares at a price of R1,313.25 per share. Other prominent buyers include Citigroup Global Markets Mauritius (38.23 lakh shares for R503.19 crore), Goldman Sachs Singapore (23.5 lakh shares for R311.03 crore) and New World Fund (26.88 lakh shares for R353.50 crore),",Positive
22,Forex reserves up at $303.67 billion as of March 28: RBI,http://profit.ndtv.com/news/forex/article-forex-reserves-up-at-303-67-billion-as-of-march-28-rbi-384772,NDTV,"The forex reserves had risen by $1.34 billion and $1.83 billion in the previous two weeks. The government's stake sale in Axis Bank, a large part of which was bought by foreign funds, is among the major reasons for such a sharp jump in the forex ...",2014-04-05T08:56:57Z," India's foreign exchange (forex) reserves soared by $5.03 billion to $303.67 billion for the week ended March 28, data from the Reserve Bank showed. The reserves have soared past the $300-billion mark for the first time since December 2011. This is the fifth consecutive week of increase in the country's forex reserves as overseas investors poured in money in local bonds and stock markets. The forex reserves had risen by $1.34 billion and $1.83 billion in the previous two weeks. The government's stake sale in Axis Bank, a large part of which was bought by foreign funds, is among the major reasons for such a sharp jump in the forex reserves kitty. The government divested 9 per cent of its stake in Axis Bank during the week under review. According to the RBI's weekly statistical supplement, foreign currency assets - the biggest component of the forex reserves - rose by $5.01 billion to $276.40 billion. Foreign currency assets, expressed in US dollar terms, include the effect of appreciation or depreciation of non-US currencies held in reserve such as the pound sterling, euro and yen. India's reserve position with the International Monetary Fund (IMF) rose by $30 million to $1.83 billion. However, the value of special drawing rights (SDRs) fell by $3.6 million to $4.45 billion, while the value of gold reserves remained unchanged at $20.97 billion. ",Positive
23,Axis Bank falls on government $935 mln stake sale offer,http://www.sify.com/finance/axis-bank-falls-on-government-935-mln-stake-sale-offer-news-equity-odvjEiafdff.html,Sify,Shares in Axis Bank Ltd fell as much as 2.6 percent after the Indian government launched an offer to sell up to a 9 percent stake in India's third-largest private-sector bank by assets to raise up to $935 million. Axis Bank shares were down 1.9 ...,2014-03-21T02:48:12Z,"Shares in Axis Bank Ltd fell as much as 2.6 percent after the Indian government launched an offer to sell up to a 9 percent stake in India's third-largest private-sector bank by assets to raise up to $935 million. Axis Bank shares were down 1.9 percent, compared with a 0.3 percent gain in the broader NSE index. Axis shares touched a low of 1,322.1 rupees earlier in the day.",Negative
24,Govt to raise upto $935 mln in Axis Bank stake sale,http://in.reuters.com/article/2014/03/20/axis-bank-disinvestment-idINDEEA2J08R20140320,Reuters Group PLC,"The government holds in total 20.7 percent of Axis Bank, India's third-largest private-sector bank by assets, via a trust fund called Specified Undertaking of the Unit Trust of India (SUUTI). The share sale is part of the government's campaign ...",2014-03-20T12:00:34Z," The government has launched its sale offer on a 9 percent stake in Axis Bank Ltd (AXBK.NS) that could raise up to $935 million, two sources with direct knowledge of the development said on Thursday. The government holds in total 20.7 percent of Axis Bank, India's third-largest private-sector bank by assets, via a trust fund called Specified Undertaking of the Unit Trust of India (SUUTI). The share sale is part of the government's campaign to raise revenues and meet its revised fiscal deficit target of 4.6 percent of gross domestic product in the financial year ending on March 31. The indicative price band for the Axis Bank share sale has been set at roughly 1,290 rupees to 1,357 rupees a share, said the sources, a discount of as much as 5 percent from its closing price on Thursday of 1,357.35 rupees. The sources declined to be named as they were not authorised to speak to the media. India's finance ministry officials were not immediately available for comments. The government, through the Special Undertaking of Unit Trust of India, also has stakes in cigarette maker ITC Ltd (ITC.NS) and engineering and construction firm Larsen & Toubro Ltd (LART.NS). Citigroup Inc (C.N), JPMorgan Chase & Co (JPM.N) and India's JM Financial Ltd were appointed by the government in January to manage the stake sale.",Average
25,"Jubilant enters into funding agreement with Axis Bank Limited, Singapore",http://www.scandoil.com/moxie-bm2/by_province/asia_pacific/jubilant-enters-into-funding-agreement-with-axis-b.shtml,Scandinavian Oil Gas,"Jubilant is pleased to announce that on 28 March, 2014 it entered into a funding agreement with Axis Bank Limited, Singapore Branch (Axis Bank) for an amount of USD 15 million by way of a foreign currency loan (Loan). The tenor of the Loan is six years ...",2014-04-01T03:25:15Z,"Jubilant is pleased to announce that on 28 March, 2014 it entered into a funding agreement with Axis Bank Limited, Singapore Branch (Axis Bank) for an amount of USD 15 million by way of a foreign currency loan (Loan). The tenor of the Loan is six years with a capital moratorium period of four and a half years and with repayment commencing thereafter in four semi-annual instalments. The Loan will bear interest at a rate of 6 month USD LIBOR plus 570 basis points per annum, a processing fee of 9 per cent. and other nominal charges. These funds will be applied for general corporate purposes including debt repayments and servicing. The Loan is secured, inter-alia, by a corporate guarantee (the ""Corporate Guarantee"") of Jubilant Enpro Private Limited (""Jubilant Enpro""), the ultimate holding company of the Company and which is jointly owned and controlled by Mr. Shyam Sunder Bhartia and Mr. Hari Shanker Bhartia.",Positive
26,Forex reserves soar to USD 303.67 bn,http://www.smetimes.in/smetimes/news/top-stories/2014/Apr/05/forex-reserves-soar-to-usd-303-67-bn.html,SME Times,"The forex reserves had risen by USD 1.34 billion and USD 1.83 billion in the previous two weeks. The government's stake sale in Axis Bank, a large part of which was bought by foreign funds, is among the major reasons for such a sharp jump in the forex ...",2014-04-05T09:47:04Z,"India's foreign exchange (forex) reserves soared by USD 5.03 billion to USD 303.67 billion for the week ended March 28, Reserve Bank of India (RBI) data showed. The forex reserves have soared past USD 300 billion mark for the first time since December 2011. This is the fifth consecutive week of increase in the country's forex reserves as overseas investors poured in money in local bonds and stock markets. The forex reserves had risen by USD 1.34 billion and USD 1.83 billion in the previous two weeks. The government's stake sale in Axis Bank, a large part of which was bought by foreign funds, is among the major reasons for such a sharp jump in the forex reserves kitty. The government divested 9 percent of its stake in Axis Bank during the week under review. According to the RBI's weekly statistical supplement, foreign currency assets, the biggest component of the forex reserves, rose by USD 5.01 billion to USD 276.40 billion. Foreign currency assets, expressed in US dollar terms, include the effect of appreciation or depreciation of non-US currencies held in reserve such as the pound sterling, euro and yen. India's reserve position with the International Monetary Fund (IMF) rose by USD 30 million to $1.83 billion. However, the value of special drawing rights (SDRs) fell by USD 3.6 million to USD 4.45 billion, while the value of gold reserves remained unchanged at USD 20.97 billion.",Positive
27,"Govt raises over Rs 5,550 cr from Axis Bank stake sale",http://www.thehindu.com/business/markets/govt-sells-9-stake-in-axis-bank-shares-fall-3/article5813791.ece,The Hindu,"The Central Government on Friday sold its 9 per cent stake in Axis Bank, the third largest private sector bank in the country, through a block deal in a price range of Rs.1,313-1,341 per share. This sale is expected to garner around Rs.5,500 crore with a ...",2014-03-21T06:22:57Z," The Central Government on Friday sold its 9 per cent stake in Axis Bank, the third largest private sector bank in the country, through a block deal in a price range of Rs.1,313-1,341 per share. This sale is expected to garner around Rs.5,500 crore with a sale of 4.20 crore shares held by the government through Specified Undertaking of UTI (SUUTI) in Axis Bank. SUUTI, formed in 2003, is an offshoot of erstwhile UTI, held 20.72 per cent in Axis Bank. Following Friday’s deal, SUUTI’s holding will come down to 11.72 per cent in Axis Bank. Shares of Axis Bank closed 2.69 per cent higher at Rs.1,393.40 on the BSE. However, shares of Axis Bank fell to the day’s low of Rs.1,313.25, down Rs.44 per share compared to its previous close in early trades. The investment bankers had fixed a price band of Rs.1,290-1,357 for the deal. JM Financial, JP Morgan and Citibank were handling the share sale. LIC has emerged as the single largest investor, buying over 85 lakh shares at Rs.1,313.25, thereby pumping in over Rs.1,116 crore. New World Fund bought 26.88 lakh shares at Rs.1316.13 per share, Goldman Sachs 23.5 lakh shares at Rs.1,323.57 per share and City Group Global 38.2 lakh shares at Rs.1,316.13 per share. Several other institutional investors also bought shares in the block deal. PTI reports:About 4.2 crore Axis Bank shares were sold at an average price of Rs.1,315.13 apiece. This is at a 3.07 per cent discount to Thursday’s closing price. The share sale fetches Rs.5,557 crore to the Exchequer. “The stock will bounce back on strong fundamentals of the bank. There was demand in the counter and now with the stake sale supply has come,” CNI Research Chairman and Managing Director Kishore P. Ostwal said. Sources said there would be a six month lock-in period following the share sale.",Average
28,Government raises $1.4 billion in divestment push,http://in.reuters.com/article/2014/03/21/india-axis-bank-divestment-idINDEEA2K05H20140321,Reuters Group PLC,"The government on Friday raised about $900 million by selling 9 percent of Axis Bank Ltd (AXBK.NS), India's No.3 private-sector bank by assets, to institutional investors. The sale will pare the government's ownership in Axis Bank, held via a ...",2014-03-21T18:33:05Z,"The government on Friday raised as much as $1.4 billion through share sales, in a push to shore up state finances before it heads into a tough parliamentary election next month. As a result, New Delhi managed to exceed its sharply-lowered budget target to raise as much as $3.1 billion via stake sales in some private as well as state companies in the fiscal year to March 31, after years of falling short. Some analysts hope the new government, taking office in May, will speed divestments to bolster revenue generation and trim the budget deficit, as part of efforts to revive slowing economic growth. Finance Minister P. Chidambaram had penciled nearly $9 billion in divestment revenues into his budget for this fiscal year, but slashed that figure last month to $3.1 billion. He also set an ambitious target of raising $8.5 billion from further share sales in the next fiscal year, but this estimate could be revised by a possible successor after the election. ""With the next government in place, one would only expect better fortunes from stake sales,"" said N.R. Bhanumurthy, an economist at the National Institute of Public Finance and Policy think tank.",Average
29,"Indian Govt Mops Up Rs.5,603 Cr. Via Axis Bank Stake Sale",http://www.rttnews.com/2289775/indian-govt-mops-up-rs-5603-cr-via-axis-bank-stake-sale.aspx,Realtime Business News,"The Indian government has sold 4.2 crore equity shares or nine percent voting rights in Axis Bank at a price of Rs.1,334 apiece. The stake sale will fetch around Rs.5,603 crore to the exchequer. The government holds around 20.72 percent of the shares of ...",2014-03-21T01:15:08Z," The Indian government has sold 4.2 crore equity shares or nine percent voting rights in Axis Bank at a price of Rs.1,334 apiece. The stake sale will fetch around Rs.5,603 crore to the exchequer. The government holds around 20.72 percent of the shares of the third largest Indian private sector bank through the Specified Undertaking of UTI (SUUTI), an offshoot trust fund of the erstwhile UTI that was formed in 2003. Besides Axis bank, SUUTI holds 11.54 percent stake in ITC and 8.27 percent in Larsen & Toubro. The other promoters of the bank are Life Insurance Corporation, General Insurance Corporation, New India Assurance and National Insurance Company. The merchant bankers for the deal are JP Morgan, Citigroup Global Markets and JM Financial. The proceeds of the Axis Bank stake sale will help the government bridge its fiscal deficit for 2013-14. The government is on course to meet the revised disinvestment target of Rs.16,000 crore for the year. The total funds raised by the government could touch around Rs.40,000 crore, if the stake sale of SUUTI and the special dividend given by Coal India and NMDC are taken into consideration",Average
30,Sensex regains some lost ground after plunging nearly 200 pts,http://www.sify.com/finance/sensex-regains-some-lost-ground-after-plunging-nearly-200-pts-news-sensex-oedppighfgb.html,Sify,"BHEL is down 3.6%. GAIL India, Coal India, Axis Bank, State Bank of India, Bharti Airtel, Tata Steel, ONGC, Larsen & Toubro, Reliance Industries and ICICI Bank are down 1% - 2.5%. DLF is down 2.8%. IndusInd Bank, Bank of Baroda, Punjab National ...",2014-04-03T08:02:04Z,"The Indian stock market is headed for a weak close today, snapping a fairly decent winning streak that saw the key indices Sensex and the Nifty post new highs. Besides profit taking after recent strong gains, a report from Markit Economics that showed a contraction in India's services sector activity in March is dragging down stocks this afternoon. According to Markit Economics, the services sector contracted for the ninth straight month, with the HSBC Purchasing Managers' Index declining to a three-month low of 47.5 in March, down from 48.8 in February. In January the index stood at 47.7 points. The Sensex, which tumbled to 22,369.28, losing nearly 200 points in the process, is currently down 87.60 points or 0.39% at 22,463.89. The Nifty is down 19 points or 0.28% at 6733.55, recovering from a low of 6696.90. Earlier in the day, the Sensex and the Nifty had spurted to 22,620.65 and 6776.75, respectively. Bank, capital goods and oil stocks are the major losers. Mirroring their decline, the indices tracking their performance are down 1.3% - 1.6% now. Realty, power and automobile stocks too are mostly trading lower. Metal stocks, which rallied sharply earlier in the day, are currently trading well off their highs. Information technology and FMCG stocks are mixed, while healthcare stocks continue to trade firm. BHEL is down 3.6%. GAIL India, Coal India, Axis Bank, State Bank of India, Bharti Airtel, Tata Steel, ONGC, Larsen & Toubro, Reliance Industries and ICICI Bank are down 1% - 2.5%. DLF is down 2.8%. IndusInd Bank, Bank of Baroda, Punjab National Bank, BPCL, IDFC, Kotak Bank and Tech Mahindra are trading lower by 1.3% - 2.5%. Ambuja Cements, Ultra Tech Cements, Asian Paints, Lupin, Cipla, Dr Reddy's Laboratories, Sun Pharmaceutical Industries, NMDC, Jindal Steel & Power, Sesa Sterlite and Hindustan Unilever are up 0.5% - 2.5%. Ranbaxy Laboratories (5.4%) and Wockhardt Pharma (9.5%) continue to trade firm, clocking impressive volumes. Aban Offshore (4.5%) is another stock that has rallied sharply on strong volumes.",Negative
