"ID","Title","Url","Source","Description","Date"
"7a27cdf4-fbff-4309-bece-f2028169e560","BHEL FY14 provisional net profit slumps 51%","http://news.in.msn.com/business/bhel-fy14-provisional-net-profit-slumps-51percent","MSN India","Mumbai: Bharat Heavy Electricals Ltd (BHEL), India's state-run top power equipment maker, reported on Saturday a 51 percent fall in provisional net profit for the fiscal year ended March 31. India's power sector has been badly hit by shortages of coal and ...","2014-04-05T11:34:26Z"
"4bac6c54-e08c-4c71-abc6-99b90c053047","BHEL annual profit slides to Rs. 3,228 crore","http://www.thehindu.com/business/Industry/bhel-annual-profit-slides-to-rs-3228-crore/article5876492.ece","The Hindu","Bharat Heavy Electricals Ltd’s (BHEL) net profit more than halved to Rs. 3,228 crore in the previous financial year on account of low volumes and challenges in the domestic power sector. The power equipment major had posted a net profit of Rs. 6,615 ...","2014-04-05T13:21:49Z"
"ffc19d01-6d9e-4698-9549-a79200495c95","BHEL annual profit slumps to Rs 3,228 crore","http://businesstoday.intoday.in/story/bhel-annual-profit-slumps-to-rs-3228-crore/1/204951.html","Business Today","Bharat Heavy Electricals Ltd's (BHEL) net profit more than halved to Rs 3,228 crore in the previous financial year as the company grappled with tough business conditions. The state-owned company had posted a net profit of Rs 6,615 crore in 2012-13, BHEL ...","2014-04-05T12:10:14Z"
"bd644dd6-ca86-4017-a0a9-a2b9b0dfd591","BHEL’s net slumps, project commissioning reaches all time high","http://www.thehindubusinessline.com/companies/bhels-net-slumps-project-commissioning-reaches-all-time-high/article5876404.ece","The Hindu Business Line","The power generation equipment maker Bharat Heavy Electricals Limited (BHEL) has reported slump in its net profit during 2013-14. However, the good news is that the company achieved all time high commissioning and synchronization of power projects.","2014-04-05T10:30:01Z"
"aaa632ad-0f7a-443d-91ac-45a9844b57a4","BSE Sensex closes 150 pts lower as profit-booking emerges, BHEL shares biggest losers","http://www.financialexpress.com/news/bse-sensex-closes-150-pts-lower-as-profitbooking-emerges-bhel-shares-biggest-losers/1238307/","Financial Express","SummaryBSE Sensex today registered its biggest fall in a month. The BSE Sensex today shed nearly 150 points, the biggest fall in a month, on selling in auto, IT, power and capital goods counters amid Asian cues. Brokers said profit-booking emerged at ...","2014-04-04T14:13:06Z"
"bb26bfb6-9f5e-4dd2-a605-453b142e2030","BHEL, SBI, ONGC slip 2%; BSE Sensex, Nifty in red","http://www.moneycontrol.com/news/local-markets/bhel-sbi-ongc-slip-2-bse-sensex-niftyred_1063365.html","Money Control","11:30 am Sahara woes: The Sahara Group made another proposal to the Supreme Court on Thursday, but in vain. Sahara lawyers have now told the Supreme Court that it is not possible for them to raise Rs 10,000 crore needed to get Sahara chief Subrata Roy ...","2014-04-03T06:07:32Z"
"4a6cf549-b16e-4fc7-90fe-6f9ded3264d8","Bhel wins Rs 125 crore order for hydro power project in Uttarakhand","http://post.jagran.com/bhel-wins-rs-125-crore-order-for-hydro-power-project-in-uttarakhand-1396269732","Post","""Valued at Rs 125 crore, the order for setting up of hydro generating sets and associated electro-mechanical works for the 120 MW Vyasi project has been placed on Bhel by Uttarakhand Jal Vidyut Nigam Ltd,"" Bhel said in a statement. The Vyasi power project ...","2014-03-31T12:01:50Z"
"19c467ee-a5bc-4925-8240-d4e331d62012","BHEL wins order for 120 MW Hydro Electric Project in Uttarakhand","http://www.steelguru.com/indian_news/BHEL_wins_order_for_120_MW_Hydro_Electric_Project_in_Uttarakhand/336029.html","SteelGuru","Bharat Heavy Electricals Limited has secured a prestigious contract for setting up a 120 MW Hydro Electric Project in the state of Uttarakhand. Significantly, this is the first major order for electro-mechanical equipment in the hydro sector, to be ...","2014-04-03T03:01:25Z"
"7918dfbf-73bb-43c8-9fa4-7d0dadeb3250","BHEL signed contract of 125crore rupees of hydro power in Uttarakhand","http://www.jagranjosh.com/current-affairs/bhel-signed-contract-of-125crore-rupees-of-hydro-power-in-uttarakhand-1396271979-1","Jagran Josh","Bharat Heavy Electricals Limited (BHEL) signed a contract of 125 crore rupees from Uttarakhand Jal Vidyut Nigam Limited on 31 March 2014. The contract is for setting up a 120 MW Hydro Electric Project in Uttarakhand on 31 March 2014. BHEL has increased its ...","2014-03-31T14:03:32Z"
"3d20dfe6-7b2e-433f-9fc6-df240a4208a5","Bhel wins Rs 125 crore order in Uttarakhand","http://profit.ndtv.com/news/corporates/article-bhel-wins-rs-125-crore-order-in-uttarakhand-384266","NDTV","State-owned power equipment maker Bhel has secured Rs 125 crore contract for setting up a 120 MW Hydro Electric Project in Uttarakhand. ""Valued at Rs 125 crore, the order for setting up of hydro generating sets and associated electro-mechanical ...","2014-03-31T03:12:08Z"
"00e11313-90a1-4a7b-af7c-95d89c5e456a","Bhel announces flash results","http://www.indiainfoline.com/Markets/News/Bhel-announces-flash-results/5295981460","India Infoline Ltd","Bharat Heavy Electricals has announced the tentative financial results (flash results) for financial year 2013-14. Accordingly, Turnover stands at Rs 40366 crore, Profit before Tax (PBT) is at Rs 4678 crore, Net Profit (PAT) is Rs 3228 crore. Order infow ...","2014-04-05T12:31:42Z"
"b632a934-29dc-47bd-a1ff-374de954fa91","BSE Sensex slips from lifetime peak, FIIs remain bullish","http://news.in.msn.com/business/bse-sensex-slips-from-lifetime-peak-fiis-remain-bullish","MSN India","However, BHEL fell by 7.70 per cent, followed by Gail India (4.80 per cent), Tata Power (3.53 per cent), HDFC Bank (2.66 per cent), Axis Bank (2.27 per cent) and ICICI Bank (2.26 per cent). Among the S&P BSE sectoral indices, Realty rose by 6.91 per cent ...","2014-04-05T12:17:23Z"
"257c77e1-8741-48ea-b8c9-ae5b658a8759","Sensex falls 152 points on weak global cues; BHEL, NTPC drag","http://www.newindianexpress.com/business/market_commentary/Sensex-falls-152-points-on-weak-global-cues-BHEL-NTPC-drag/2014/04/04/article2149371.ece","The New Indian Express","Indian equities continued to trade loweron Friday tracking weakness in Asian stock markets. Auto, capital goods and power stocks witnessed a fall whereas realty stocks registered a gain. At 2.18 p.m., the Sensex was trading down 152.05 points or ...","2014-04-04T09:19:37Z"
"ecabf50e-474c-4152-88b9-cd18c30c8fa8","BHEL project in U’khand","http://www.thestatesman.net/news/47210-bhel-project-in-u-khand.html","The Statesman","New Delhi, 1 April: BHEL has secured a Rs 125-crore contract for setting up a 120-MW hydro-electric project in the Himalayan state of Uttarakhand. In a statement, BHEL said the project is valued at Rs 125 crore. Placed by Uttarakhand Jal Vidyut Nigam Ltd ...","2014-04-01T20:07:25Z"
"6c5d0376-407f-4690-8a2d-328aec75aea7","Bhel recovers after winning new order","http://www.indiainfoline.com/Markets/News/Bhel-recovers-after-winning-new-order/5288935498","India Infoline Ltd","Bhel was down 0.33% to Rs 198.65 at 13:06 IST on BSE, recovering from the day's low after the company said it won a contract for setting up a 120 megawatts hydro electric project in Uttarakhand. Meanwhile, the BSE Sensex was up 37.97 points, or 0.17%, to ...","2014-03-31T06:03:56Z"
"87dafda0-bed8-414c-b40d-2c803efc922d","Sensex falls 52 points; GAIL, ONGC, BHEL drag","http://www.newindianexpress.com/business/market_commentary/Sensex-falls-52-points-GAIL-ONGC-BHEL-drag/2014/04/04/article2149174.ece","The New Indian Express","Indian equities are trading in the negative terrain in the late morningtrade on Friday. Realty, consumer durable stocks witnessed a rise whereas oil & gas and capital goods stocks registered a fall. At 11.16 a.m., the Sensex was trading down 52 ...","2014-04-04T05:52:01Z"
"4d490c5a-fa64-4653-8c0b-d75a0364c8ef","BHEL project in U’khand","http://www.thestatesman.net/news/47210-bhel-project-in-u-khand.html","The Statesman","New Delhi, 1 April: BHEL has secured a Rs 125-crore contract for setting up a 120-MW hydro-electric project in the Himalayan state of Uttarakhand. In a statement, BHEL said the project is valued at Rs 125 crore. Placed by Uttarakhand Jal Vidyut Nigam Ltd ...","2014-04-01T20:07:25Z"
"2abc4bbb-d42a-418e-a0ab-9221fd822fd8","Bhel recovers after winning new order","http://www.indiainfoline.com/Markets/News/Bhel-recovers-after-winning-new-order/5288935498","India Infoline Ltd","Bhel was down 0.33% to Rs 198.65 at 13:06 IST on BSE, recovering from the day's low after the company said it won a contract for setting up a 120 megawatts hydro electric project in Uttarakhand. Meanwhile, the BSE Sensex was up 37.97 points, or 0.17%, to ...","2014-03-31T06:03:56Z"
