"ID","Title","Url","Source","Description","Date"
"37013b1f-abb1-4923-94fb-854ea03bbec0","I-t dept slaps two more notices on Cairn Energy","http://www.financialexpress.com/story-print/1238215/","Financial Express","Cairn faces a potential tax demand on an alleged R24,500 crore of capital gains it made when in 2006-07 it transfered all its India assets to a new company, Cairn India. It said none of the transactions undertaken by it during that fiscal were ...","2014-04-04T04:54:45Z"
"86f3a089-2119-4b96-8faa-2127467fa0bc","Sensex ends 150 pts down on profit taking","http://www.sify.com/finance/sensex-ends-150-pts-down-on-profit-taking-news-sensex-oeeq5cbdaae.html","Sify","Power Grid Corporation, HCL Technologies, United Spirits, Asian Paints and Cairn India lost 1.5% - 2%. Ambuja Cements, Kotak Bank and Bank of Baroda also closed weak. Realty stock DLF ended higher by 2.2%. Cipla too gained around 2.2%.","2014-04-04T10:45:31Z"
"3f46704d-a8a3-4a43-8a1c-56912eed93d0","Vedanta's outlook revised to stable from negative","http://www.steelguru.com/indian_news/Vedantas_outlook_revised_to_stable_from_negative/336101.html","SteelGuru","The latter condition arose when Vedanta embarked on the debt-funded acquisition of Cairn India and again when the company was slow to prearrange funds for the repayment of a convertible bond in April 2013. Notwithstanding these events, the underlying ...","2014-04-04T03:28:51Z"
"50a1d3c6-59cd-4fdd-b270-deaedc57ba70","Weekly wrap: Indices end flat; investors book profits post record highs","http://www.moneycontrol.com/news/local-markets/weekly-wrap-indices-end-flat-investors-book-profits-post-record-highs_1064568.html","Money Control","Tata Steel, Hindalco Industries, Cipla, Bank of Baroda, Lupin, M&M, Reliance Industries, Cairn India, HDFC and Tata Motors were up 2-5 percent. Sesa Sterlite gained nearly 4 percent. Rating agency Moody's has raised Vedanta Resources rating outlook to ...","2014-04-04T14:41:44Z"
"b140147d-1050-42df-a31b-c066db60bc63","Sensex falls 52 points; GAIL, ONGC, BHEL drag","http://www.newindianexpress.com/business/market_commentary/Sensex-falls-52-points-GAIL-ONGC-BHEL-drag/2014/04/04/article2149174.ece","The New Indian Express","The Oil & Gas index was at 9,551.81, down by 90.05 points or by 0.93%. The major losers were G A I L (India) (2.19%), Cairn India (0.87%), Hindustan Petroleum Corporation (0.58%), Bharat Petroleum Corporation (0.33%) and Castrol India (0.23% ...","2014-04-04T05:52:01Z"
"9ab8fa04-801c-4c09-bf16-7f440f930120","Crude oil","http://profit.ndtv.com/commodity/crude-oil-price_crudeoil_21-04-2014","NDTV","State-owned Oil and Natural Gas Corp (ONGC) has given nod to its partner Cairn India for raising the cost of developing the second biggest oilfield in the prolific Rajasthan block by 30 per cent to $608 million, according to sources.","2014-04-02T23:55:18Z"
"2577f5f3-bfa0-477c-942a-5cb7a72e17d3","Indian bond yield climbs to four-month high before debt auction","http://www.livemint.com/Money/tJySYQweLc4QeHJT1otyxI/Indian-bond-yield-climbs-to-fourmonth-high-before-debt-auct.html","Live Mint","India will sell Rs.16,000 crore of notes due between 2022 and 2043 on Friday in the first sale for the fiscal year that began 1 April. Photo: Pradeep Gaur/Mint Mumbai: India’s 10-year bonds fell, pushing the yield to the highest level in more than four ...","2014-04-03T11:51:07Z"
"657a0836-3519-4fd2-b939-9ed6090e54d8","IDFC, Bandhan get ‘in-principle’ nod to set up banks","http://www.thehindu.com/business/idfc-bandhan-get-inprinciple-nod-to-set-up-banks/article5863268.ece","The Hindu","The Reserve Bank of India (RBI), on Wednesday, granted ‘in-principle’ approval to two applicants, IDFC Limited and Kolkata-based Bandhan Financial Services Private Limited, to set up banks. The RBI has also accepted the recommendation of the High-Level ...","2014-04-03T16:37:27Z"
"0e2fac94-3c2d-435a-921c-e8d064b107dd","Etihad Airways now to fly to Jaipur","http://news.in.msn.com/business/etihad-airways-now-to-fly-to-jaipur","MSN India","""We are confident that the new flights will continue the strong passenger growth between India and the UAE,"" he added. Etihad Airways' new daily service will be operated with an Airbus A320 aircraft in a two-class configuration, featuring 16 Pearl ...","2014-04-02T12:06:38Z"
"5e106c6e-6415-4c8b-9cf8-bce6ed05d5f3","Shares of banking licence applicants surge up to 12.5%","http://www.dailypioneer.com/business/shares-of-banking-licence-applicants-surge-up-to-125.html","The Pioneer","Public sector India Post and IFCI and private sector Anil Ambani group and Aditya Birla group were among the 25 players in the fray. Bajaj Finance, Muthoot Finance, Religare Enterprises and Shriram Capital have also applied.","2014-04-02T17:07:16Z"
"41a04ae7-828b-4c07-b9d3-cd9c374aebf5","Bandhan, IDFC get nod for banking","http://www.thestatesman.net/news/47378-Bandhan--IDFC-get-nod-for-banking.html","The Statesman","The Reserve Bank of India today granted in-principle approval to IDFC and Bandhan Financial Services to set up banks in accordance with the guidelines issued by it early last year. The development comes a day after the Election Commission permitted it to ...","2014-04-02T20:06:14Z"
