"ID","Title","Url","Source","Description","Date"
"d0915e14-29a8-4bae-b352-d69094fee986","Coal India hikes price of certain grade of fuel","http://profit.ndtv.com/news/corporates/article-coal-india-hikes-price-of-certain-grade-of-fuel-384661","NDTV","State-owned Coal India Ltd (CIL) has increased the price of a certain grade of coal from one of its mines in Godda district of Jharkhand, according to a source. The increase has been effected from April 1 as per the decision taken by the Coal ...","2014-04-03T11:58:17Z"
"95add6a7-afc7-4fef-b6b8-7cba15345d2d","Coal India hikes price of certain grade of coal","http://articles.economictimes.indiatimes.com/2014-04-03/news/48834732_1_coal-india-ltd-cil-board-pratik-prakashbapu-patil","The Economic Times","NEW DELHI: State-owned Coal India (CIL) has increased the price of a certain grade of coal from one of its mines in Godda district of Jharkhand. The increase has been with effect from April 1 as per the decision taken by the Coal India board ...","2014-04-03T10:53:51Z"
"3fd30cfa-ad1c-44ac-8a98-a3a5c18d303b","Buy Coal India shares as co hikes 'add-on' price of coal: Nomura","http://www.financialexpress.com/news/buy-coal-india-shares-as-co-hikes-addon-price-of-coal-nomura/1238454","Financial Express","SummaryCoal India’s board of directors recently approved a 30% increase in the ‘add-on price’ of coal. Coal India's board of directors recently approved a 30% increase in the ‘add-on price’ of coal (from R300/tonne to Rs 390/tonne) produced from ...","2014-04-05T05:00:44Z"
"54a125fc-f6ec-4068-8ef7-d74439499e6d","Major Indian ports handle 17 pct more imported coal in 2013/14","http://in.reuters.com/article/2014/04/04/india-coal-imports-idINDEEA3309920140404","Reuters Group PLC","... years of under-investment has forced Indian generators to increase coal imports as state-run domestic monopoly Coal India Ltd (COAL.NS) has struggled to meet demand. Coal-based power generation rose 8 percent to 587.64 billion kilowatt ...","2014-04-04T16:00:29Z"
"85e531f2-8584-42e1-ad09-6fadd3b10cfc","Buy Coal India; target of Rs 320: ICICIdirect.com","http://www.moneycontrol.com/news/recommendations/buy-coal-india-targetrs-320-icicidirectcom_1061904.html","Money Control","""Coal India (CIL), a Maharatna public sector enterprise, is engaged in mining coal, the key material used in generating thermal power. CIL is the largest coal producing company in the world with huge coal reserves (reserves/production at ~40 years).","2014-04-01T07:57:16Z"
"a5171861-7b5f-4792-8be1-2ff712777031","Coal India misses target by 20 million tonnes","http://www.steelguru.com/indian_news/Coal_India_misses_target_by_20_million_tonnes/336107.html","SteelGuru","Coal India Limited closed last fiscal with a production of 462.5 million tonnes which was 19.5 million tonnes off the target set for 2013 to 2014. While CIL’s growth rate stood at 2.3% at least two of its 7 coal producing subsidiaries showed a drop in ...","2014-04-04T03:28:51Z"
"a3f2a088-b47d-4342-9dd9-6eed8c489807","BHP Billiton Signals Confidence in Its Coal Business","http://online.wsj.com/news/articles/SB10001424052702304157204579476422800122640","The Wall Street Journal","India is the world's third-largest importer of coal, after China and Japan, according to the World Coal Association. China, the largest producer of metallurgical coal, will continue to be a major importer of the raw material from mining hubs ...","2014-04-02T00:53:45Z"
"c8afecb9-169c-4e66-8723-fe54b6dd5110","Major ports handle 17% more imported coal in 2013-14","http://www.financialexpress.com/news/major-ports-handle-17-more-imported-coal-in-201314/1238462","Financial Express","SummaryIndia's major state-owned ports handled 17% more imported coal in the fiscal ended March, according to data from the Indian Ports Association (IPA), as its coastal power firms stepped up generation to meet growing demand. India's major state-owned ...","2014-04-04T20:03:52Z"
"f1ba1ddf-2e86-4908-b5ca-8fc79e557392","NTPC, Coal India trying to meet deadline for fuel supply dues","http://www.livemint.com/Companies/baZ9bQWqXmu3CTeGBu2A1L/NTPC-Coal-India-trying-to-meet-deadline-for-fuel-supply-due.html","Live Mint","The genesis of the fight between NTPC and Coal India goes back to the beginning of 2012, when the miner moved to pricing based on gross calorific value. Photo: Bloomberg Government officials and executives at the two listed companies fear that some amount ...","2014-03-30T19:05:22Z"
"fcdaaf2b-7e32-436c-9499-b9a905f2aa80","40 firms in fray for three captive coal mines in India","http://www.steelguru.com/indian_news/40_firms_in_fray_for_three_captive_coal_mines_in_India/336175.html","SteelGuru","Around 40 steel, sponge iron and cement companies have so far purchased bid documents for the three captive coal mines on offer. This is the first auction of captive coal assets in India. While the sale of bid documents will continue till May 27, the ...","2014-04-05T03:27:40Z"
