"ID","Title","Url","Source","Description","Date"
"6dd053c6-cd2e-4c64-a88e-8a4313c12b9c","Can HDFC Bank (HDB) Stock Continue to Grow Earnings?","http://finance.yahoo.com/news/hdfc-bank-hdb-stock-continue-122218002.html","Yahoo Finance","Growth stocks can be some of the most exciting picks in the market, as these high-flyers can captivate investors’ attention, and produce big gains as well. However, these can also lead on the downside when the growth story is over, so it is ...","2014-04-04T12:18:34Z"
"671b3c02-3c3c-4e95-b40c-e7a1b45e66ca","Nifty falls below 6700; ITC, Reliance, HDFC, ICICI drag","http://www.moneycontrol.com/news/local-markets/nifty-falls-below-6700-itc-reliance-hdfc-icici-drag_1064297.html","Money Control","Ridham Desai, Morgan Stanley says the market appears to care little for quality, for what the consensus is recommending, or for what institutions are buying. ""Meanwhile, financial leverage and capex have also taken a backseat. The market's belligerent ...","2014-04-04T08:58:08Z"
"ba494859-0711-4d38-957a-0c239392a3cb","HDFC Bank to roll out 20 branches in Chhattisgarh in Q1 FY'15","https://in.finance.yahoo.com/news/hdfc-bank-roll-20-branches-120202713.html","Yahoo Finance India","April 5: Private sector lender HDFC Bank is planning to expand its branch network in Chhattisgarh to 70 by launching 20 new branches in the first quarter of current fiscal, Business Standard reported citing a top bank official. The bank also plans to open ...","2014-04-05T11:55:55Z"
"a1b12574-a8ad-4fc5-a92a-c4a31c93f62c","HDFC Bank market share in credit card business down 5%: Atos report","http://articles.economictimes.indiatimes.com/2014-04-03/news/48834966_1_market-share-private-sector-banks-credit-card-space","The Economic Times","MUMBAI: Market share of HDFC Bank in credit card space has fallen by 5% while share of its peers State Bank of India, ICICI Bank and Axis Bank rose 2% each in fiscal 2013-14, says a report released by Worldline India, a subsidiary of European ...","2014-04-03T14:57:14Z"
"c550e6bd-0017-4286-b0b2-f30219895f02","HDFC mutual fund retains top slot; ICICI Pru catches up","http://www.vancouverdesi.com/business/hdfc-mutual-fund-retains-top-slot-icici-pru-catches-up/737212/","Vancouver Desi South Asian news","New Delhi, April 2 (IANS) — ICICI Prudential Mutual Fund is set to beat HDFC Mutual Fund for the top slot on the back of a strong 22 percent growth in its average asset under management in the January-March quarter, according to data released Tuesday by ...","2014-04-02T09:57:47Z"
"6653ef66-fad8-4386-8d79-760f377a9689","ICICI Pru MF joins Rs 1-lakh-crore club; HDFC keeps top slot","http://www.financialexpress.com/news/icici-pru-mf-joins-rs-1lakhcrore-club-hdfc-keeps-top-slot/1237859","Financial Express","SummaryWith a growth of about 22% in its asset base, ICICI Prudential Mutual Fund has joined the R1-lakh-crore club while HDFC MF has retained its top slot with a slender margin of about R6,000 crore. MSIL deal: MF houses plan to approach Sebi ICICI ...","2014-04-02T19:23:17Z"
"ba1fa033-6856-4048-ab03-11041e87d8d9","HDFC FMP 369D April 2014 (1) Floats On","http://www.indiainfoline.com/Markets/News/HDFC-FMP-369D-April-2014-1-Floats-On/5293990548","India Infoline Ltd","HDFC Mutual Fund has launched a new plan named as HDFC Fixed Maturity Plan 369D April 2014 (1), a plan under HDFC Fixed Maturity Plans - Series 31 (a close-ended income scheme). The face value of the new issue will be Rs 10 per unit. The new issue will be ...","2014-04-03T09:27:57Z"
"0b76b4e3-79cf-4d83-a6db-8939f030918b","ICICI Prudential MF joins Rs 1-trillion club; HDFC retains top slot","http://businesstoday.intoday.in/story/icici-pru-mf-joins-rs-1-trillion-club--hdfc-retains-top-slot/1/204837.html","Business Today","With a strong growth of about 22 per cent in its asset base, ICICI Prudential Mutual Fund has joined the Rs 1 lakh crore club while HDFC MF has retained its top slot with a thin margin of about Rs 6,000 crore. The total asset base of the entire mutual fund ...","2014-04-02T12:28:06Z"
"7b8f95de-8c63-4172-b896-071764a53ef3","HDFC ties up with Eastern Motors for car loan","http://e-pao.net/ge.asp?heading=11&src=310314","E-Pao","Imphal, March 30 2014: For the first time in the State, HDFC today launched its flagship programme of 'car loans in one day' at Eastern Motors, Chingmeirong. Speaking at the occasion, HDFC Imphal Branch manager Momo Saka said that the bank has been working ...","2014-03-30T23:23:04Z"
"5044af60-a76d-4ae0-98aa-d885a05e5ee7","Xoom Announces Instant Deposit Service to HDFC Bank Accounts in India","https://in.finance.yahoo.com/news/xoom-announces-instant-deposit-hdfc-070500550.html","Yahoo Finance India","SAN FRANCISCO, March 31, 2014 (GLOBE NEWSWIRE) -- Xoom Corporation (XOOM), a leading digital money transfer provider, today announced a partnership with HDFC Bank Limited (HDB), by offering instant deposits to INR denominated HDFC Bank accounts in India.","2014-03-31T07:01:12Z"
"e0f9043d-8b93-4401-a8d2-5d5b9ded397a","Overbought Finance Throughout Reports – HDFC Bank Limited (NYSE:HDB), Federated National Holding Co (NASDAQ:FNHC)","http://www.meshpress.com/overbought-finance-throughout-reports-hdfc-bank-limited-nysehdb-federated-national-holding-co-nasdaqfnhc/1234611.html","meshpress.com","Los Angelas, CA – (MeshPress) — 03/31/2014 – HDFC Bank Limited (NYSE:HDB) is surely an American indian monetary providers business located in Mumbai, Maharashtra. It had been integrated throughout 1994. HDFC Lender may be the sixth biggest bank ...","2014-03-31T09:02:53Z"
"31723822-70c8-4648-9b15-65e4c0c051a4","Remit now? Indian rupee could soon fall below Rs16 to Dh1","http://www.emirates247.com/markets/stocks/remit-now-indian-rupee-could-soon-fall-below-rs16-to-dh1-2014-04-03-1.544095","Emirates247","The gains came on the back of foreign buying of equities and debt,"" write Subash Gangadharan, an analyst with the India-based HDFC Securities, the brokerage arm of HDFC bank. According to his latest weekly currency report, the USD/INR pair is ...","2014-04-03T00:23:56Z"
"5b04c05b-4dff-48ba-a953-618c46ab6ce2","India's newest banks plot divergent growth strategies","http://profit.ndtv.com/news/corporates/article-indias-newest-banks-plot-divergent-growth-strategies-384652","NDTV","The banking sector is dominated by state banks and the country's two biggest private sector lenders - ICICI Bank and HDFC Bank. ""If every bank were to take the same strategy that ICICI or HDFC have taken in the past, is there an opportunity to ...","2014-04-03T11:01:01Z"
