"ID","Title","Url","Source","Description","Date"
"d251c252-7bf9-4c85-9601-2cbbde84b24d","Sensex registers marginal gain during the week","http://www.newkerala.com/news/2014/fullnews-33954.html","New Kerala","Tata Steel gained by 5.51 pc. Bharti Airtel shed by 0.39 pc. Wipro rose by 0.31 pc. Coal India declined by 1.36 pc. Tata Motors gained by 2.18 pc. Mahindra & Mahindra (M&M) gained by 3.08 pc to Rs 997.05. Hero MotoCorp rose by 0.06 pc.","2014-04-05T06:40:57Z"
"08e9282f-4484-4f20-8910-ca2ea4fbb3c0","Chanchal Pal Chauhan","http://economictimes.indiatimes.com/etreporter/author-chanchal-pal-chauhan.cms","Economic Times","Suzuki Motorcycle lines-up scooter launches to beat rivals Honda, Hero MotoCorp Mar 25, 2014Suzuki Motorcycle India will launch new products at ‘every price point’ to take on its bigger rivals – Hero MotoCorp and Honda Motorcycle and Scooter India.","2014-04-03T23:32:38Z"
"62fb3237-6285-4bbf-819c-33e80ddf1db2","Hero MotoCorp - Auto Monthly - March 2014 - Angel Broking","http://www.equitybulls.com/admin/news2006/news_det.asp?id=135850","Equity Bulls","Hero MotoCorp reported in-line volumes led by continued traction in rural markets. Total volumes surged 11.9% yoy (3.9% qoq) to 524,028 units. According to the Management, retail sales of the company grew by 7% during FY2014 as against wholesale ...","2014-04-02T16:45:48Z"
"77575b3e-cc53-489f-a53f-c01a9076ab49","Two-wheeler sales show positive growth in March 2014","http://www.zigwheels.com/news-features/news/twowheeler-sales-show-positive-growth-in-march-2014/18221/","ZIG  Wheels","Many consider it an auspicious day for purchasing two-wheelers and its impact is clearly visible in the sales figure. Hero MotoCorp ruled the roost in terms of volumes, while Mahindra Two Wheelers yet again notched the highest percentage growth.","2014-04-04T04:11:48Z"
"64b10d13-4c5b-44e9-8a85-f2b98ffd9550","Mixed trend continues in Automobile sector: Angel","http://www.commodityonline.com/futures-trading/market-report/Mixed-trend-continues-in-Automobile-sector:-Angel-32886.html","Commodity Online","Hero MotoCorp reported in-line volumes led by continued traction in rural markets which led to an 11.9% yoy (3.9% mom) growth during the month. TVS Motor reported a strong volume growth of 17.4% yoy, which is better than our expectations, driven by strong ...","2014-04-04T11:06:59Z"
"7e316d5c-0cae-431b-bd39-b4f4088c78b6","Tata Opportunities Fund invests Rs 300 cr in Varroc Engineering","http://www.thehindubusinessline.com/companies/tata-opportunities-fund-invests-rs-300-cr-in-varroc-engineering/article5871462.ece","The Hindu Business Line","The group has marquee clients, including Jaguar Land Rover, Ford, Tesla, GM, Volkswagen, Bentley and Nissan, in the global market, and players such as Bajaj, Honda, Yamaha, Hero, Royal Enfield, Mahindra and Tata Motors in the domestic market.","2014-04-04T10:02:34Z"
"47b2af14-4014-4aed-beef-44f757c6cea8","Tata Opportunities Fund makes investment in Varroc","http://www.newkerala.com/news/2014/fullnews-33187.html","New Kerala","The group has marquee clients including Jaguar Land Rover, Ford, Tesla, GM, Volkswagen, Bentley and Nissan in the global market and players such as Bajaj, Honda, Yamaha, Hero, Royal Enfield, Mahindra and Tata Motors in the domestic market. Varroc Group is ...","2014-04-04T02:31:35Z"
"85921218-6a16-4724-8cdf-593e97ee3d15","Sensex down over 100 pts on global cues; IT, pharma stocks edge higher","http://www.sify.com/finance/sensex-down-over-100-pts-on-global-cues-it-pharma-stocks-edge-higher-news-sensex-oeejV2ijafi.html","Sify","ICICI Bank, Larsen & Toubro, Axis Bank, State Bank of India, Coal India and BHEL are down 1% - 1.5%. HDFC Bank, Hero Motocorp, Mahindra & Mahindra, Bajaj Auto, Tata Motors, Bharti Airtel, Reliance Industries and HDFC are also trading weak.","2014-04-04T03:07:23Z"
"605a317b-1931-4304-9e73-63df26b3d148","Poll-linked stocks see handsome gains","http://www.moneyguruindia.com/article.php?cid=6933","MoneyGuru India","Hero Motocorp, TVS Motor, Maruti Suzuki, Force Motors and Eicher Motors have seen share prices spurting by 10-50 per cent in just a month. Shares of breweries and distilleries are also witnessing good demand. Political parties as well as individual ...","2014-04-04T01:27:10Z"
"00eb5e03-3e8d-4a74-b9c1-be25d020a9db","Sensex remains lower; auto, power drag","http://www.newindianexpress.com/business/market_commentary/Sensex-remains-lower-auto-power-drag/2014/04/04/article2149308.ece","The New Indian Express","The major losers were Bajaj Auto (1.51%), Mahindra & Mahindra (0.91%), Bosch (0.87%), Exide Industries (0.81%) and Hero Motocorp (0.36%). The Power index was at 1,725.79, down by 12.51 points or by 0.72%. The major losers were Bharat Heavy ...","2014-04-04T07:32:14Z"
