"ID","Title","Url","Source","Description","Date"
"6773804f-b3e9-4678-85f9-5cf5c5c04630","Reserve Bank gives banking licenses to IDFC and Bandhan","http://www.onlineindiannews.com/content/view/3027/36/","Online Indian News","RBI Governor Mr Rajan defended handing out just two licences out of the 25 banking applicants saying the selection panel felt that some of them were better placed to serve as differentiated banks.Talking to journalists on the sidelines of the annual ...","2014-04-05T13:14:39Z"
"9202e701-73af-407c-b61a-a583c67f9de4","IDFC readies 9-year road map for banking foray","http://www.financialexpress.com/story-print/1238487/","Financial Express","Mumbai : The CEO of IDFC bank will be selected from within the company, chairman Rajiv Lall said on Friday, adding the transition from a non-banking financial company (NBFC) to a bank might mean some amount of pain in the near term. ""For the ...","2014-04-04T19:56:42Z"
"0e82fe81-473b-4cad-9a2b-4d410919694e","Journey begins for new banks","http://www.thehindubusinessline.com/companies/journey-begins-for-new-banks/article5872596.ece","The Hindu Business Line","The final three years are about returning to growth or sustaining growth,"" says Rajiv Lall, Executive Chairman, IDFC, explaining the infrastructure financing company’s roadmap to become a bank. Lall expects IDFC’s profitability to be ...","2014-04-04T15:17:32Z"
"ed93f8ba-cff0-44be-9bc4-a5384aa8b2a6","RBI breaks ice, grants banking licence","http://indiancooperative.com/co-op-news-snippets/rbi-breaks-ice-grants-banking-licence-to-two/","Indian Cooperative","They are IDFC Limited and Bandhan Financial Services Private Limited. A press release from the apex bank said these applicants would set up bank ""under the Guidelines on Licensing of New Banks in the Private Sector issued on February 22, 2013 (Guidelines","2014-04-05T13:57:36Z"
"8c83bde5-06c6-433a-a378-bab209ebd10d","Challenges ahead","http://www.dailypioneer.com/letters-to-the-editor/2014-04-04-43269.html","The Pioneer","Sir — This refers to the report that the Reserve Bank of India has granted banking licences to IDFC and Bandhan, leaving out the corporate houses. After a long gap of 10 years, the RBI has granted in-principle licence to new firms. One of the ...","2014-04-04T18:23:39Z"
"0d53b970-4047-4960-875d-5abc86d491d0","A cautious beginning","http://www.thehindu.com/opinion/editorial/a-cautious-beginning/article5872572.ece","The Hindu","The Reserve Bank of India’s in-principle approval to two applicants, IDFC Limited and Bandhan Financial Services Ltd., to set up banks comes four years after the then Finance Minister, Pranab Mukherjee, in a budget speech mooted the idea of licensing a ...","2014-04-04T20:39:39Z"
"04e21c88-0b37-4edc-b24f-00c050568da9","Has the new bull market started for India? Not really as 25% move is normal: Expert","http://economictimes.indiatimes.com/markets/analysis/has-the-new-bull-market-started-for-india-not-really-as-25-move-is-normal-expert/articleshow/33286122.cms","Economic Times","We have visited and revisited 25% moves on the indices in the last three-four years,"" says Kenneth Andrade, CIO, IDFC Mutual Fund. The Indian markets have been on a record-hitting binge over the past several days, with Friday being an exception.","2014-04-05T10:01:23Z"
"773482f6-48f5-4e65-8dd3-9a8619b112ab","Applicants that lost out better off with differentiated licences: Rajan","http://www.financialexpress.com/news/applicants-that-lost-out-better-off-with-differentiated-licences-rajan/1238449","Financial Express","SummaryRBI governor Raghuram Rajan on Friday said the two applicants granted banking licences earlier this week — IDFC and Bandhan Financial Services New bank licences: Oppn questions timing, Raghuram Rajan-led 'RBI's hurry', despite EC clearance New ...","2014-04-04T20:03:52Z"
"63bcb1f1-8239-4581-b5ea-086bd98dec34","Rajan defends RBI’s conservative approach","http://www.thestatesman.net/news/47766-Rajan-defends-RBI-s-conservative-approach.html","The Statesman","Ending a process that began three years ago, the RBI on 2 April handed out just two licences from the 25 applicants to infra lender IDFC and Kolkata-based micro-finance company Bandhan ~ leaving out notable biggies like Reliance Anil Ambani Group ...","2014-04-04T20:39:39Z"
"f0fd8557-42ed-49d3-bd3d-1ea3c6dd5fec","Raghuram Rajan for differentiated bank licences","http://economictimes.indiatimes.com/industry/banking/finance/banking/raghuram-rajan-pitches-for-differentiated-bank-licences-on-tap-approvals/articleshow/33251743.cms","Economic Times","This was his first public comment after the RBI issued new bank licences on Wednesday to two financial institutions — micro lender Bandhan Financial Services and Infrastructure Development Finance Company ( IDFC). They will have to set up shop with all ...","2014-04-04T23:52:55Z"
