"ID","Title","Url","Source","Description","Date"
"3a9a516e-4bbb-467c-b01c-9dd8a5ea267b","Independent Customer Survey shows Banks Using Infosys Finacle See Reduction in Average Transaction Cost by Over 35%","http://www.equitybulls.com/admin/news2006/news_det.asp?id=135960","Equity Bulls","The latest Infosys Finacle Business Value Articulation survey has revealed that banks using the multichannel functionality of Finacle core banking solution have reduced average transaction costs across channels by over 35 percent. The survey ...","2014-04-05T07:45:22Z"
"25d1bbbb-e88b-4cfa-a952-9f56459479ca","BSE Sensex slips from lifetime peak, FIIs remain bullish","http://news.in.msn.com/business/bse-sensex-slips-from-lifetime-peak-fiis-remain-bullish","MSN India","Major gainers were Tata Steel (5.51 per cent), Hindalco (5.60 per cent), Cipla (4.43 per cent), SSLT (3.85 per cent), RIL (3.29 per cent), M&M (3.08 per cent), HDFC (2.50 per cent), Tata Motors (2.18 per cent), TCS (1.61 per cent), Infosys (1.77 per cent ...","2014-04-05T12:17:23Z"
"c36e1a03-4e6f-4e1f-8af0-37785fdb122c","Sensex ends 149 points down; IT stocks hit","http://www.greaterkashmir.com/news/2014/Apr/5/sensex-ends-149-points-down-it-stocks-hit-23.asp","Greater Kashmir","IT stocks were down before the fourth quarter earning session beginning with Infosys on April 15. In 30-BSE index components 25 stocks declined while five ended with gains. Major losers were Infosys, Tata Consultancy Services, Wipro, Reliance Industries ...","2014-04-04T18:16:29Z"
"7133b655-66df-4303-8cc2-dd4da34d6848","Markets fall ahead of Lok Sabha polls 2014, US jobs data","http://economictimes.indiatimes.com/markets/stocks/market-news/markets-fall-ahead-of-lok-sabha-polls-2014-us-jobs-data/articleshow/33251914.cms?prtpage=1","Economic Times","Stocks fell amidst profit booking in index heavyweights like TCS, RIL, HDFC, Tata Motors, Infosys, L&T and ITC. But there was increased activity in the mid- and small-cap scrips, indicating a shift in focus towards these stocks. The BSE mid-cap index rose ...","2014-04-04T22:12:42Z"
"ab27361f-d4ab-43e9-8de4-9daff35c86a6","Sensex drops 149 points on profit-booking","http://www.thehindu.com/business/markets/sensex-drops-149-points-on-profitbooking/article5871683.ece","The Hindu","IT stocks were down before the fourth quarter earning session beginning with Infosys on April 15. In 30-BSE index components 25 stocks declined while five ended with gains. Major losers were Infosys, Tata Consultancy Services, Wipro, Reliance Industries ...","2014-04-04T11:28:28Z"
"2d3ff201-c863-45c4-99b9-3235f923defd","Sensex drops 149 pts on profit-booking; IT stocks hit","http://www.deccanherald.com/content/396718/sensex-drops-149-pts-profit.html","Deccan Herald","IT stocks were down before the fourth quarter earning session begining with Infosys on April 15. In 30-BSE index components 25 stocks declined while five ended with gains. Major losers were Infosys, Tata Consultancy Services, Wipro, Reliance Industries ...","2014-04-04T10:31:12Z"
"910c3317-3fda-4a44-bac6-0de51eec0e06","Sensex down more than 150 pts, set to end on weak note","http://www.sify.com/finance/sensex-down-more-than-150-pts-set-to-end-on-weak-note-news-sensex-oeepnWabeag.html","Sify","Bajaj Auto, Maruti Suzuki, Wipro, Infosys, Tata Power, HDFC, Reliance Industries, ONGC, ICICI Bank, Axis Bank and Dr Reddy's Laboratories are also trading weak. HCL Technologies, Power Grid Corporation, Asian Paints, United Spirits, Cairn India ...","2014-04-04T07:53:43Z"
"de9f224a-886f-4e0d-b7e3-46d2f138f4e6","Nifty falls below 6700; ITC, Reliance, HDFC, ICICI drag","http://www.moneycontrol.com/news/local-markets/nifty-falls-below-6700-itc-reliance-hdfc-icici-drag_1064297.html","Money Control","IT majors Infosys, TCS and Wipro plummeted 0.4-0.7 percent. Shares of state-run BHEL, GAIL and NTPC fell 1.5-2 percent. However, Cipla bucked the trend, rising nearly 2 percent followed by Tata Steel, Hindalco and Coal India with 0.4-0.8 percent.","2014-04-04T08:58:08Z"
"329a1818-3aba-4edf-816c-b0d370a99d22","India's BSE marks biggest single day fall in a month ahead of elections","http://in.reuters.com/article/2014/04/04/markets-india-shares-close-idINL4N0MW2CK20140404","Reuters Group PLC","Software services exporters fell on caution ahead of their quarterly earnings. Infosys Ltd, which kicks off the January-March earnings season with results due on April 15, fell 0.7 percent. Tata Consultancy Services Ltd lost 1.3 percent ...","2014-04-04T11:28:28Z"
"bb3bc1a8-903b-4026-b444-567f2e6bc671","Markets blink in face of US job data","http://www.rediff.com/business/slide-show/slide-show-1-how-the-markets-fared-on-apr-4/20140404.htm","Rediff India Abroad","Index heavyweights, Reliance Industries, Infosys, ICICI Bank and ITC were down 0.4-0.8%. The market breadth was positive in an otherwise weak market on BSE. 1,649 stocks advanced while 1,135 stocks declined. Shares of sugar manufacturer rallied ...","2014-04-04T10:59:50Z"
