"ID","Title","Url","Source","Description","Date"
"71cc813d-7aa4-46d6-baef-2a434ba8ac21","Power and Oil & Gas Utilities - Q4FY14 Results Preview - Strong earnings quarter - Centrum","http://www.equitybulls.com/admin/news2006/news_det.asp?id=135946","Equity Bulls","Positive earnings surprises: MRPL, NTPC, Tata Power, PTC India, Petronet LNG, GSPL and GAIL are expected to post positive earnings surprises led by higher Gross Refining Margins (GRM), robust PLF and PAF based incentives, modest coal ...","2014-04-05T08:35:29Z"
"1fbced85-68ff-4d2d-a6d1-17e757142113","Railway ministry dashes hopes of Telangana, Andhra","http://timesofindia.indiatimes.com/city/hyderabad/Railway-ministry-dashes-hopes-of-Telangana-Andhra/articleshow/33256121.cms","Times of India","Meanwhile, in more bad news for Telangana, the National Thermal Power Corporation (NTPC) informed the state government and the Centre that it has no new coal linkage to take up the 4,000 MW thermal power plant for the state. NTPC also informed ...","2014-04-05T01:18:49Z"
"a8923b39-de65-4245-9c3a-cf09722278c5","Sensex ends 150 pts lower as profit-booking emerges","http://www.dayandnightnews.com/2014/04/sensex-ends-150-pts-lower-as-profit-booking-emerges/","Day & Night News","State-run power producer NTPC also lost 1.95 per cent.Telecom major Bharti Airtel suffered a hit of 1.74 per cent, while Tata Motors closed 1.50 per cent lower. Gail India, Wipro, TCS, Sun Pharma and Tata Power lost over 1 per cen each. Among BSE sectoral ...","2014-04-05T05:43:41Z"
"aba9ff08-a510-4bdc-b2c7-901a74b48517","Sensex sheds 150 points","http://www.thestatesman.net/news/47776-sensex-sheds-150-points.html","The Statesman","State-run power producer NTPC also lost 1.95 per cent. Telecom major Bharti Airtel suffered a hit of 1.74 per cent, while Tata Motors closed 1.50 per cent lower. Gail India, Wipro, TCS, Sun Pharma and Tata Power lost over one per cent each. Among BSE ...","2014-04-04T20:39:39Z"
"2f5f166f-7347-4979-9835-69f10f3c0876","Sensex weak, broader markets outshine; banks recover","http://www.moneycontrol.com/news/local-markets/sensex-weak-broader-markets-outshine-banks-recover_1064217.html","Money Control","State-run power equipment maker BHEL topped the selling list, falling 2.4 percent followed by L&T, Tata Motors, ONGC, Bharti Airtel, Bajaj Auto and NTPC with more than 1 percent. Index heavyweights ITC, Reliance Industries and HDFC declined 0.5-1 percent.","2014-04-04T06:49:17Z"
"57fe0b41-5680-4564-ae81-b133b4ab66ec","Sensex loses 150 points, Nifty ends below 6700; Cipla, SBI up","http://ibnlive.in.com/news/sensex-loses-150-points-nifty-ends-below-6700-cipla-sbi-up/462501-7.html","IBN Live","BHEL, NTPC and Bharti Airtel lost 2 per cent while Tata Motors and GAIL were down over 1 per cent. About 1640 shares advanced, 1119 shares declined, and 143 shares were unchanged. Cipla was up 2 per cent, followed by Tata Steel, SBI, Hindalo and Coal India.","2014-04-04T10:59:50Z"
"136d45fd-5f8f-4b59-8038-0aff6f24c729","Sensex down 149 points; Auto, TECk stocks skid","http://www.thehindubusinessline.com/markets/sensex-down-149-points-auto-teck-stocks-skid/article5870420.ece","The Hindu Business Line","Cipla, Tata Steel, SBI, Hindalco and Coal India were the top five Sensex gainers, while the top five losers were NTPC, BHEL, NTPC, Bharti Airtel, Tata Motors and GAIL. European stocks rose ahead of a report that may show the US economy created ...","2014-04-04T09:05:18Z"
"735adc86-ba28-4a60-9bdb-8f2e2660330c","Sensex slips 150 points; auto, capital goods lose","http://www.newkerala.com/news/2014/fullnews-33448.html","New Kerala","137.65; and Coal India, up 0.41 percent at Rs.282. The main losers were: BHEL, down 1.95 percent at Rs.183.95; NTPC, down 1.95 percent at Rs.120.55; Bharti Airtel, down 1.74 points at Rs.316.25; Tata Motors, down 1.50 points at Rs.405.10; and Gail India ...","2014-04-04T11:49:56Z"
"aa52dd11-27ce-4f46-96e2-6d3ed6354303","Sensex down more than 150 pts, set to end on weak note","http://www.sify.com/finance/sensex-down-more-than-150-pts-set-to-end-on-weak-note-news-sensex-oeepnWabeag.html","Sify","Metal and consumer durables stocks are mixed, while realty stocks are in demand. NTPC, BHEL, Bharti Airtel, GAIL India, Tata Motors, Tata Consultancy Services, Larsen & Toubro, Sun Pharmaceutical Industries and Mahindra & Mahindra are down 1% ...","2014-04-04T07:53:43Z"
"4062ffab-b6b2-4493-8487-c41115d3eae1","Markets post biggest single-day fall in a month, end week on flat note","http://www.financialexpress.com/story-print/1238458/","Financial Express","In year to date, FIIs have bought more than $4 billion worth of equities. The market fall was led by declines in Bhel (-1.95%), NTPC (-1.95%) and Bharti Airtel (-1.74%). It was a tepid week for the markets with the Sensex ending 0.08% higher.","2014-04-04T20:03:52Z"
