"ID","Title","Url","Source","Description","Date"
"19e4bc39-827c-4073-864d-a630f0ccb40d","Power and Oil & Gas Utilities - Q4FY14 Results Preview - Strong earnings quarter - Centrum","http://www.equitybulls.com/admin/news2006/news_det.asp?id=135946","Equity Bulls","Global coal prices continued to remain weak. Demand for RLNG continues to be weak although pick up in utilization at Dahej terminal was primarily owing to momentary decline in gas output led by ONGC. LPG realizations jumped whereas petchem ...","2014-04-05T08:35:29Z"
"00438db3-7c02-4010-b9c8-6293c6e244ee","CPSE ETF debuts with 11% gain","http://www.financialexpress.com/story-print/1238453/","Financial Express","The CPSE index consists of Coal India, GAIL, ONGC, IOC, Bharat Electronics, Oil India, Power Finance Corporation, Rural Electrification Corporation, Container Corporation of India and Engineers India. ONGC has the highest weightage of 26.7% in ...","2014-04-04T20:03:52Z"
"0c972f33-d9fb-4d09-b6c6-6402bd3a6e6d","Urea plants using LNG from mkts may lose subsidy","http://www.deccanherald.com/content/396818/urea-plants-using-lng-mkts.html","Deccan Herald","The government is mulling stopping subsidy support to urea plants that use LNG imported from spot market as feedstock instead of using cheaper domestic gas available from state-owned ONGC. Senior fertiliser ministry officials held discussions on gas usage ...","2014-04-04T16:50:35Z"
"30fb2ed8-1c27-4a12-9d12-d918c24f9281","Govt may come up with more ETF products","http://www.thestatesman.net/news/47767-Govt-may-come-up-with--160-more-ETF-products.html","The Statesman","CPSE ETF, which comprises stocks of 10 public sector enterprises like ONGC, Gail (India), Coal India, REC, Oil India, Indian Oil, Power Finance Corporation, Container Corporation of India, Bharat Electronics and Engineers India, has witnessed encouraging ...","2014-04-04T20:39:39Z"
"0a53aca4-c8a5-48e5-817f-1fe19994b485","Sensex weak, broader markets outshine; banks recover","http://www.moneycontrol.com/news/local-markets/sensex-weak-broader-markets-outshine-banks-recover_1064217.html","Money Control","State-run power equipment maker BHEL topped the selling list, falling 2.4 percent followed by L&T, Tata Motors, ONGC, Bharti Airtel, Bajaj Auto and NTPC with more than 1 percent. Index heavyweights ITC, Reliance Industries and HDFC declined 0.5-1 percent.","2014-04-04T06:49:17Z"
"a1e6964e-368e-490f-b406-79b7304a37e2","CPSE ETF shares surge over 11% on Day 1","http://indianexpress.com/article/business/business-others/cpse-etf-shares-surge-over-11-on-day-1/","The Indian Express","CPSE ETF, which comprises stocks of 10 public sector enterprises including — ONGC, Gail (India), Coal India, REC, Oil India, Indian Oil Corp, Power Finance Corporation, Container Corporation of India, Bharat Electronics and Engineers India, has witnessed ...","2014-04-04T20:11:01Z"
"11d6d811-fd57-442f-92b4-3f1556c8d07f","PSU ETF makes strong debut; gains over 11%","http://www.thehindubusinessline.com/markets/psu-etf-makes-strong-debut-gains-over-11/article5870950.ece?homepage=true","The Hindu Business Line","Of this, 7.07 crore or 84.75 per cent shares were up for delivery. CPSE ETF comprises stocks of 10 public sector enterprises -- ONGC, GAIL (India), Coal India, REC, Oil India, Indian Oil, Power Finance Corporation, Container Corporation of India ...","2014-04-04T16:14:48Z"
"a095e143-047c-43a1-96d4-c67b1dabf336","Sensex down more than 150 pts, set to end on weak note","http://www.sify.com/finance/sensex-down-more-than-150-pts-set-to-end-on-weak-note-news-sensex-oeepnWabeag.html","Sify","Bajaj Auto, Maruti Suzuki, Wipro, Infosys, Tata Power, HDFC, Reliance Industries, ONGC, ICICI Bank, Axis Bank and Dr Reddy's Laboratories are also trading weak. HCL Technologies, Power Grid Corporation, Asian Paints, United Spirits, Cairn India ...","2014-04-04T07:53:43Z"
"2eea2ee4-0bbc-4145-8c81-618395884ad7","Sensex drops 102 points on profit-booking","http://www.thehindu.com/business/markets/sensex-down-78-points-on-profitbooking-global-cues/article5870485.ece?homepage=true","The Hindu","The NSE 50-share Nifty also declined by 30.25 points, or 0.45 per cent, to 6,705.85 at ao a.m. Major losers were — GAIL 2.40 per cent, ONGC 1.78 per cent, Coal India 1.42 per cent, Larsen 1.29 per cent, BHEL 1.15 per cent, ICICI Bank 1.15 per cent ...","2014-04-04T04:33:17Z"
"2302251d-c939-423f-af6b-f72eeced3e1f","Sensex down 77 points; Capital goods, oil & gas stocks major losers","http://news.in.msn.com/business/sensex-down-77-points-capital-goods-oil-and-gas-stocks-major-losers","MSN India","Hindalco, Cipla, Tata Steel, Wipro and SBI were the top five Sensex gainers, while the top five losers were BHEL, GAIL, Bharti Airtel, ONGC and L&T. Asian stocks swung between gains and losses amid low trading volume, leaving the regional gauge on course ...","2014-04-04T09:05:18Z"
