"ID","Title","Url","Source","Description","Date"
"2ece3211-2d6f-4f07-8345-1825b953a308","SBI to Hold Home Loan Rates","http://news.outlookindia.com/items.aspx?artid=835880","News Outlook India","The State Bank of India (SBI) will hold on to its home loan rates, a senior official of the bank said here today. ""Home loan rates will remain as they are,"" SBI Chairperson and Managing Director Arundhati Bhattacharya said on the sidelines of the IIM ...","2014-04-05T16:06:27Z"
"d7ff8573-7a53-4bde-943b-d20579a753be","Banking Licence to IDFC May Affect Infra Sector: SBI","http://news.outlookindia.com/items.aspx?artid=835881","News Outlook India","The State Bank of India (SBI) today welcomed competition in the banking sector but apprehended that IDFC's entry into banking may impact the infrastructure sector. ""We welcome RBI's decision on banking licence. Only thing is that IDFC was a major player in ...","2014-04-05T16:06:27Z"
"614281a0-cb41-4fd0-9682-51864d265862","State Bank of India","http://www.ibtimes.co.in/topics/detail/601/state-bank-of-india/","International Business Times","State Bank of India (Hindi: भारतीय स्टेट बैंक) (SBI) (BSE: 500112, LSE: SBID) is the largest state-owned banking and financial services company in India, by almost every parameter - revenues, profits, assets, market ...","2014-04-04T10:24:02Z"
"54a45b0b-601f-4417-860d-c21f3f631c4f","Sensex loses 150 pts, Nifty ends below 6700; Cipla, SBI up","http://www.moneycontrol.com/news/localmarkets/sensexloses150ptsniftyendsbelow6700;ciplasbiup_1064297.html","Money Control","Investors booked profit ahead of the weekend, which dragged the market today. The Sensex closed down 149.57 points at 22359.50, and the Nifty ended at 6694.35, down 41.75 points. About 1640 shares advanced, 1119 shares declined, and 143 shares were unchanged.","2014-04-04T10:52:40Z"
"c5859e04-49ea-440d-8a26-3f5e7b3dff5c","Sensex slips 150 points; auto, capital goods lose","http://www.newkerala.com/news/2014/fullnews-33448.html","New Kerala","The major Sensex gainers were: Cipla, up 1.98 percent at Rs.404.10; Tata Steel, up 0.84 percent at Rs.401.90; State Bank of India (SBI), up 0.47 percent at Rs.1,904.25; Hindalco Inds, up 0.44 percent at Rs.137.65; and Coal India, up 0.41 percent at Rs.","2014-04-04T11:49:56Z"
"3966895f-784f-40ce-adbf-3c8318956443","Govt nominates Gurdial Singh Sandhu as SBI director","https://in.finance.yahoo.com/news/govt-nominates-gurdial-singh-sandhu-105016398.html","Yahoo Finance India","April 3: India's largest lender State Bank of India Wednesday said that the government has nominated Gurdial Singh Sandhu as its director with immediate effect. Last month, the bank appointed 14 Statutory Central Auditors for 2013-14 as per Section 41 sub ...","2014-04-03T10:46:42Z"
"d89e791d-1d6c-43d5-a2fe-c0e9c0caf03c","The best education loan from banks in India: 6 factors to compare","http://www.rupeetimes.com/article/education_loans/the_best_education_loan_from_banks_in_india_6_factors_to_compare_1155.html","Rupee Times","However, leading banks in India are more than willing to be a part of your dream. Be it SBI, ICICI bank, HDFC bank, Citibank, Bank of Baroda, AXIS bank and other Govt. and private sector banks, all are lined up to provide an education loan to ...","2014-04-04T23:02:49Z"
"81e3ca6e-4ccd-4e43-af60-d5281f61a984","Sensex drops 102 points on profit-booking","http://www.thehindu.com/business/markets/sensex-down-78-points-on-profitbooking-global-cues/article5870485.ece?homepage=true","The Hindu","The NSE 50-share Nifty also declined by 30.25 points, or 0.45 per cent, to 6,705.85 at ao a.m. Major losers were — GAIL 2.40 per cent, ONGC 1.78 per cent, Coal India 1.42 per cent, Larsen 1.29 per cent, BHEL 1.15 per cent, ICICI Bank 1.15 per cent ...","2014-04-04T04:33:17Z"
"ee28f478-208f-4df1-8715-fe2c33f91413","Sensex down 77 points; Capital goods, oil & gas stocks major losers","http://news.in.msn.com/business/sensex-down-77-points-capital-goods-oil-and-gas-stocks-major-losers","MSN India","Hindalco, Cipla, Tata Steel, Wipro and SBI were the top five Sensex gainers, while the top five losers were BHEL, GAIL, Bharti Airtel, ONGC and L&T. Asian stocks swung between gains and losses amid low trading volume, leaving the regional gauge on course ...","2014-04-04T09:05:18Z"
"d9198d10-818b-4e53-8693-685eadf4ac20","Sensex drops 102 points on profit-taking","http://www.hindustantimes.com/business-news/sensex-nifty-bse-nse-stock-market-economy-business/article1-1204051.aspx","Hindustan Times","Major losers were - GAIL 2.40%, ONGC 1.78%, Coal India 1.42%, Larsen 1.29%, BHEL 1.15%, ICICI Bank 1.15%, SBI 1.00% and Bajaj Auto 1.00%. Most Asian stocks declined in their early trade as investors await data on US jobs growth later today. Key benchmark ...","2014-04-04T06:56:27Z"
"56772ee0-08b6-412c-b89e-cf80a21651c8","Sensex down 149 points; Auto, TECk stocks skid","http://www.thehindubusinessline.com/markets/sensex-down-149-points-auto-teck-stocks-skid/article5870420.ece","The Hindu Business Line","Cipla, Tata Steel, SBI, Hindalco and Coal India were the top five Sensex gainers, while the top five losers were NTPC, BHEL, NTPC, Bharti Airtel, Tata Motors and GAIL. European stocks rose ahead of a report that may show the US economy created ...","2014-04-04T09:05:18Z"
"42930ce6-d7a3-4ecf-9bd7-411e813fed57","Markets blink in face of US job data","http://www.rediff.com/business/slide-show/slide-show-1-how-the-markets-fared-on-apr-4/20140404.htm","Rediff India Abroad","FMCG, Oil & Gas, Power and Capital Goods indices slipped 0.5-0.8%. 25 of the Sensex-30 stocks closed in red. Cipla, Tata Steel, SBI, Hindalco and Coal India up 0.4-2% were the only gainers. BHEL, NTPC, Bharti Airtel, Tata Motors and Gail India ...","2014-04-04T10:59:50Z"
"9222cba3-fb39-44df-8da2-f399a47d6608","SBI extends special home loan scheme for women","http://www.moneyguruindia.com/article.php?cid=6902","MoneyGuru India","State Bank of India has extended the special home loan scheme for women borrowers, under which women borrowers can get an additional 0.05 per cent concession on card rates. The special rates were available till March 31 but have now been extended till ...","2014-04-02T23:12:21Z"
"5aacf13e-d4d3-471d-915d-eb6af6d55c3c","Stock market live: Sensex down over 150 points, Nifty below 6700","http://profit.ndtv.com/news/market/article-stock-market-live-sensex-down-over-150-points-nifty-below-6700-384675","NDTV","(Track markets) Banking stocks have shown some recovery today with the Bank Nifty up 0.3 per cent. PNB, SBI and Bank of Baroda are up between 1 per cent and 0.4 per cent on value-buying after yesterday's fall. (Track banking markets) 12:20 ...","2014-04-04T07:25:05Z"
