"ID","Title","Url","Source","Description","Date"
"0ea989e4-bf17-499b-b66c-a6eb8ebc188e","BSE Sensex slips from lifetime peak, FIIs remain bullish","http://news.in.msn.com/business/bse-sensex-slips-from-lifetime-peak-fiis-remain-bullish","MSN India","and Sun Pharma (1.49 per cent). However, BHEL fell by 7.70 per cent, followed by Gail India (4.80 per cent), Tata Power (3.53 per cent), HDFC Bank (2.66 per cent), Axis Bank (2.27 per cent) and ICICI Bank (2.26 per cent). Among the S&P BSE sectoral indices ...","2014-04-05T12:17:23Z"
"e31db014-f4dd-4a00-8700-7c6414428ace","Sensex slips from new lifetime peak; FIIs remain bullish","http://businesstoday.intoday.in/story/sensex-slips-from-new-lifetime-peak-fiis-remain-bullish/1/204952.html","Business Today","and Sun Pharma (1.49 per cent). However, BHEL fell by 7.70 per cent, followed by Gail India (4.80 per cent), Tata Power (3.53 per cent), HDFC Bank (2.66 per cent), Axis Bank (2.27 per cent) and ICICI Bank (2.26 per cent). Among the S&P BSE sectoral indices ...","2014-04-05T13:14:39Z"
"41aae589-22f3-405b-ac3c-cda2215013a1","Sensex ends 150 pts lower as profit-booking emerges","http://www.dayandnightnews.com/2014/04/sensex-ends-150-pts-lower-as-profit-booking-emerges/","Day & Night News","Gail India, Wipro, TCS, Sun Pharma and Tata Power lost over 1 per cen each. Among BSE sectoral indices, auto fell by 1.00 per cent, followed by IT at 0.95 per cent, teck 0.92 per cent, power 0.83 per cent and consumer goods 0.74 per cent.Realty bucked the ...","2014-04-05T05:43:41Z"
"950de3f6-b8a3-41b7-a124-13f1a1ca4748","Sensex sheds 150 points","http://www.thestatesman.net/news/47776-sensex-sheds-150-points.html","The Statesman","Telecom major Bharti Airtel suffered a hit of 1.74 per cent, while Tata Motors closed 1.50 per cent lower. Gail India, Wipro, TCS, Sun Pharma and Tata Power lost over one per cent each. Among BSE sectoral indices, auto fell by 1.00 per cent, followed by IT ...","2014-04-04T20:39:39Z"
"eadbc28c-c13a-4882-882c-96efce2c89a6","UPDATE 4-Swedish drugmaker Meda spurns Mylan takeover approach","http://in.reuters.com/article/2014/04/04/meda-mylan-idINL5N0MW15G20140404","Reuters Group PLC","A year ago India's Sun Pharmaceutical Industries Ltd held talks to buy Meda for between $5 billion and $6 billion in a bid to boost its generics business in developed markets, sources with knowledge of the matter said at the time. Analysts in ...","2014-04-04T07:46:33Z"
"7932e983-62e1-44d5-81f9-ba929fd3d151","Sensex down more than 150 pts, set to end on weak note","http://www.sify.com/finance/sensex-down-more-than-150-pts-set-to-end-on-weak-note-news-sensex-oeepnWabeag.html","Sify","NTPC, BHEL, Bharti Airtel, GAIL India, Tata Motors, Tata Consultancy Services, Larsen & Toubro, Sun Pharmaceutical Industries and Mahindra & Mahindra are down 1% - 2.2%. Bajaj Auto, Maruti Suzuki, Wipro, Infosys, Tata Power, HDFC, Reliance ...","2014-04-04T07:53:43Z"
"cdee73b4-29a8-4049-bf1c-1681115fd213","Nifty falls for 2nd day, ends below 6700 ahead of polls","http://www.moneycontrol.com/news/local-markets/nifty-falls-for-2nd-day-ends-below-6700-aheadpolls_1064415.html","Money Control","Top telecom operator Bharti Airtel lost 2 percent too. Shares of TCS, Tata Motors, Reliance Industries, HDFC, Infosys, L&T and Sun Pharma declined 0.8-1.5 percent. Private sector lenders ICICI Bank and HDFC lost 0.4 percent while rival State Bank of India ...","2014-04-04T10:59:50Z"
"c8fb7edd-57ea-43e5-864f-14e23617ac8e","Markets blink in face of US job data","http://www.rediff.com/business/slide-show/slide-show-1-how-the-markets-fared-on-apr-4/20140404.htm","Rediff India Abroad","BHEL, NTPC, Bharti Airtel, Tata Motors and Gail India up 1.5-2% were the major losers. Bajaj Auto, Wipro, TCS, Sun Pharma, Tata Power, L&T and HDFC down 1-1.4% were some of the other prominent losers. Index heavyweights, Reliance Industries ...","2014-04-04T10:59:50Z"
"4118d3e7-b4ff-4e3c-bb25-09ebe3540bfa","Stock market live: Profit-taking takes Sensex, Nifty lower for second day","http://profit.ndtv.com/news/market/article-stock-market-live-profit-taking-takes-sensex-nifty-lower-for-second-day-384675","NDTV","(Track markets) His short-term stock bets: Buy Engineers India Ltd with target of Rs 235 and stop-loss of Rs 217.4 Buy HDFC Bank with target of Rs 755 and stop-loss of Rs 718.4 Buy Sun Pharma with target of Rs 555 and stop-loss of Rs 585.1 11:45 ...","2014-04-04T02:24:26Z"
"2732b87b-e7d2-431d-b060-21684437b1aa","Sensex remains lower; auto, power drag","http://www.newindianexpress.com/business/market_commentary/Sensex-remains-lower-auto-power-drag/2014/04/04/article2149308.ece","The New Indian Express","On the other hand, Bharat Heavy Electricals (2.29%), Bharti Airtel (1.60%), Bajaj Auto (1.51%), NTPC (1.26%), Sun Pharmaceutical Industries (1.17%), and G A I L (India) (1.09%) were the biggest losers in the Sensex. Mid & Small-cap Space The BSE ...","2014-04-04T07:32:14Z"
"b9f50b9f-2b01-4f6a-ac50-0f8c42536b97","Sensex declines to 22,491.42 after touching record high","http://news.in.msn.com/business/sensex-declines-to-2249142-after-touching-record-high","MSN India","SSLT, Cipla, Dr Reddy's, Sun Pharma and Infosys were the top five Sensex gainers, while the top five losers were BHEL, SBI, L&T. Asian stocks jumped for a seventh day in the longest rally this year, as the Japanese yen reached a two-month low and the ...","2014-04-03T04:34:28Z"
"8a85854f-79fb-46af-af8c-8bd136325e21","India Inc giants like Bajaj, Reliance, Bharti and others lost value during UPA-II","http://economictimes.indiatimes.com/news/economy/policy/india-inc-giants-like-bajaj-reliance-bharti-and-others-lost-value-during-upa-ii/articleshow/33201075.cms","Economic Times","Over the past six years, promoters of India's large business groups dependent on government policies have failed to create meaningful value for shareholders, while those in sectors such as consumer goods and pharmaceuticals that don't have as much to do ...","2014-04-04T02:17:17Z"
"8158f43a-aece-4648-ba48-c1b1e9aed4b3","Sensex declines after touching record-high","http://www.thehindu.com/business/markets/sensex-declines-after-touching-recordhigh/article5865947.ece","The Hindu","Major gainers were Hindalco (2.31 per cent), SSLT (1.51 per cent), Dr Reddy’s Lab (1.23 per cent), Tata Steel (1.16 per cent), Sun Pharma (1.09 per cent), Cipla (0.60 per cent) and Tata Motors (0.59 per cent). Asian stocks rose for the seventh day in the ...","2014-04-03T04:55:57Z"
"50660c0e-7391-47ff-8b5c-47e673bffe07","Kashmir ‘safe haven’ for firms selling spurious drugs","http://www.greaterkashmir.com/news/2014/Apr/2/kashmir-safe-haven-for-firms-selling-spurious-drugs-71.asp","Greater Kashmir","Earlier this month, while taking a note of the spurious drug scam, the High Court in a public interest litigation filed by Dr Nisar-ul-Hassan through advocate Bhat Fayaz sought action taken report against the pharma companies found to have supplied ...","2014-04-01T17:22:47Z"
"35fef127-ac8d-491f-bbc8-2a7e5085af09","Sensex at fresh record high as RBI keeps rates unchanged","http://post.jagran.com/sensex-at-fresh-record-high-as-rbi-keeps-rates-unchanged-1396356428","Post","In 30-BSE index components, 15 stocks gained and 14 ended with losses, while Sun Pharma held unchanged. IT stocks, led by Wipro, TCS and Infosys, were the star performers in the current rally. The IT sector index gained the most by rising 1.65 percent to ...","2014-04-01T12:14:58Z"
"0e0b869b-1cd0-4eab-9b99-68dc342c6fba","Nifty snaps 10-day gains on profit taking; banks drag","http://www.moneycontrol.com/news/local-markets/nifty-snaps-10-day-gainsprofit-taking-banks-drag_1063661.html","Money Control","ITC, HDFC, Infosys, M&M and Hindalco gained over 0.5 percent. Drug maker Sun Pharma was up 0.6 percent after its subsidiary Caraco has received approval from USFDA for diuretic drug Furosemide. Sesa Sterlite climbed 0.6 percent and Hindustan Zinc rose 1 ...","2014-04-03T11:15:20Z"
"b7fa8a2f-b214-43e9-900c-f0c0089786b6","Sensex declines after touching record-high","http://www.thehindu.com/business/markets/sensex-declines-after-touching-recordhigh/article5865947.ece","The Hindu","Major gainers were Hindalco (2.31 per cent), SSLT (1.51 per cent), Dr Reddy’s Lab (1.23 per cent), Tata Steel (1.16 per cent), Sun Pharma (1.09 per cent), Cipla (0.60 per cent) and Tata Motors (0.59 per cent). Asian stocks rose for the seventh day in the ...","2014-04-03T04:55:57Z"
"09dd89a4-ec60-4811-9d6f-8a7a0bc37d64","Sensex, Nifty at lifetime highs on fund inflows","http://www.dayandnightnews.com/2014/04/sensex-nifty-at-lifetime-highs-on-fund-inflows/","Day & Night News","Major gainers which contributed to the rally were Dr Reddy, Infosys, Reliance Industries, Sesa Sterlite, Sun Pharma, Cipla, Bajaj Auto, Maruti Suzuki, Tata Motors and Tata Steel. Stocks of infrastructure finance company IDFC shot up by 4.18 per cent to Rs ...","2014-04-03T04:34:28Z"
"5e542ba9-3de4-4f13-9053-d09553b92222","Markets near top, buy DLF, banks today: Sanjeev Bhasin","http://profit.ndtv.com/news/market/article-markets-near-top-buy-dlf-banks-today-sanjeev-bhasin-384563","NDTV","Selling in FMCG seems to be the short-term trend with defensives being sold for high beta. For today buying a combination of pharma, realty and banks should do well on the long side, while selling in FMCG should make money on the short side.","2014-04-02T21:39:17Z"
"92b8fe74-3548-4d19-b4a0-44b626fe166b","Sensex at fresh record high","http://www.thestatesman.net/news/47201-sensex-at-fresh-record-high.html","The Statesman","In 30-BSE index components, 15 stocks gained and 14 ended with losses, while Sun Pharma held unchanged. IT stocks, led by Wipro, TCS and Infosys, were the star performers in the current rally. The IT sector index gained the most by rising 1.65 per cent to ...","2014-04-01T17:15:37Z"
"6b9b2d2e-57da-41f8-a6de-4e62a400d7e1","Kashmir ‘safe haven’ for firms selling spurious drugs","http://www.greaterkashmir.com/news/2014/Apr/2/kashmir-safe-haven-for-firms-selling-spurious-drugs-71.asp","Greater Kashmir","Earlier this month, while taking a note of the spurious drug scam, the High Court in a public interest litigation filed by Dr Nisar-ul-Hassan through advocate Bhat Fayaz sought action taken report against the pharma companies found to have supplied ...","2014-04-01T17:22:47Z"
"fcd82875-0223-4bd5-8052-7a78360dc210","Sensex at fresh record high as RBI keeps rates unchanged","http://post.jagran.com/sensex-at-fresh-record-high-as-rbi-keeps-rates-unchanged-1396356428","Post","In 30-BSE index components, 15 stocks gained and 14 ended with losses, while Sun Pharma held unchanged. IT stocks, led by Wipro, TCS and Infosys, were the star performers in the current rally. The IT sector index gained the most by rising 1.65 percent to ...","2014-04-01T12:14:58Z"
"093dfcd7-048b-4b72-96cb-6f6e6b8c9aee","BSE Healthcare index up only by 0.5% in the first quarter of 2014","http://www.pharmabiz.com/NewsDetails.aspx?aid=81158&sid=1","Pharmabiz","Further, firming up of Indian rupee against US Dollar also put pressure, as several pharma companies are exporting over 50 per cent of their sales in regulated markets. BSEHC improved only by 0.5 per cent during the quarter ended March 28, 2014 to 10072.73 ...","2014-04-01T00:33:28Z"
