"ID","Title","Url","Source","Description","Date"
"204e9f6d-5d73-4ec1-9af5-e8c0d728a5e3","TCS adopts IFRS 9","http://www.equitybulls.com/admin/news2006/news_det.asp?id=135951","Equity Bulls","Tata Consultancy Services Ltd has elected to apply International Financial Reporting Standard 9 (referred to as IFRS 9), Financial Instruments, from April 1, 2013 in accordance with the transition provisions set out in this standard. IFRS9 will be ...","2014-04-05T07:16:44Z"
"f02fe8ce-1264-4827-8743-bd014318c948","Magisterial inquiry into Sohan’s death","http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/magisterial-inquiry-into-sohans-death/article5874661.ece","The Hindu","For details log on to www.rachanamangalore. com. TCS tech bytes quiz at Srinivas Institute Tata Consultancy Services (TCS) will organise their state-level IT Quiz, ""TCS Tech Bytes"", for the students of engineering colleges across the Karnataka at ...","2014-04-05T00:14:24Z"
"9ba7aa0e-9dcd-48a7-87fc-6764965fc675","BSE Sensex, Nifty in red; L&T falls 1%, ITC & TCS gainers","http://www.moneycontrol.com/news/local-markets/bse-sensex-niftyred-lt-falls-1-itctcs-gainers_1064082.html","Money Control","9:50 am Interview: The slowdown in realty sector is not preventing developers from launching new projects. Speaking to CNBC-TV18, J C Sharma, vice chairman and managing director, Sobha Developers, says he expects better margins in FY14 than its preceding year.","2014-04-04T03:57:29Z"
"b055414e-da50-43e2-993f-1ce3e6b95a1d","BSE Sensex slips from lifetime peak, FIIs remain bullish","http://news.in.msn.com/business/bse-sensex-slips-from-lifetime-peak-fiis-remain-bullish","MSN India","Major gainers were Tata Steel (5.51 per cent), Hindalco (5.60 per cent), Cipla (4.43 per cent), SSLT (3.85 per cent), RIL (3.29 per cent), M&M (3.08 per cent), HDFC (2.50 per cent), Tata Motors (2.18 per cent), TCS (1.61 per cent), Infosys (1.77 per cent ...","2014-04-05T12:17:23Z"
"5546743d-1429-4bb0-81fb-509d3fa75e2c","Sensex ends 150 pts lower as profit-booking emerges","http://www.dayandnightnews.com/2014/04/sensex-ends-150-pts-lower-as-profit-booking-emerges/","Day & Night News","Gail India, Wipro, TCS, Sun Pharma and Tata Power lost over 1 per cen each. Among BSE sectoral indices, auto fell by 1.00 per cent, followed by IT at 0.95 per cent, teck 0.92 per cent, power 0.83 per cent and consumer goods 0.74 per cent.Realty bucked the ...","2014-04-05T05:43:41Z"
"c16b3940-9994-4427-9083-b220cd6e132e","Sensex sheds 150 points","http://www.thestatesman.net/news/47776-sensex-sheds-150-points.html","The Statesman","Telecom major Bharti Airtel suffered a hit of 1.74 per cent, while Tata Motors closed 1.50 per cent lower. Gail India, Wipro, TCS, Sun Pharma and Tata Power lost over one per cent each. Among BSE sectoral indices, auto fell by 1.00 per cent, followed by IT ...","2014-04-04T20:39:39Z"
"75e19dcb-af66-46c9-89de-99619300aa43","Over 300 hectares land lying vacant in SEZs in Odisha","http://www.sify.com/finance/over-300-hectares-land-lying-vacant-in-sezs-in-odisha-news-default-oefd4fjecdh.html","Sify","According to data compiled by the Board of Approvals of SEZ under Union commerce ministry, developers like Tata Consultancy Services (TCS)and Vedanta Aluminium Ltd (VAL) have achieved full utilization of land in their notified SEZs in Odisha.","2014-04-04T20:18:11Z"
"17f11bce-2209-497a-9844-ba1b67cd600f","Sensex ends 150 points lower as profit-booking emerges","http://www.dailypioneer.com/business/sensex-ends-150-points-lower-as-profit-booking-emerges.html","The Pioneer","Telecom major Bharti Airtel suffered a hit of 1.74 per cent, while Tata Motors closed 1.50 per cent lower. Gail India, Wipro, TCS, Sun Pharma and Tata Power lost over 1 per cen each. Among BSE sectoral indices, auto fell by 1.00 per cent ...","2014-04-04T17:12:04Z"
"80f4b868-ce59-4019-8dae-63fa8189c32d","Markets blink in face of US job data","http://www.rediff.com/business/slide-show/slide-show-1-how-the-markets-fared-on-apr-4/20140404.htm","Rediff India Abroad","Losses in heavyweights like RIL, TCS, HDFC and L&T dragged the Nifty below the 6,700 levels to end the week down 42 points at 6,694. The Sensex gave off 150 points to close at 22,360. Meanwhile, broader markets were resilient with the midcap ...","2014-04-04T10:59:50Z"
"795e5b07-e680-49b8-9857-8a8b7d8ee4ca","Sensex marks biggest single-day fall in a month ahead of elections","http://in.reuters.com/article/2014/04/04/sensex-nifty-shares-bank-markets-idINDEEA3302Y20140404","Reuters Group PLC","Tata Consultancy Services Ltd (TCS.NS) lost 1.3 percent, while HCL Technologies Ltd (HCLT.NS) ended down 1.9 percent However, the government's exchange-traded fund with 10 exposure to state-run companies - or the Central Public Sector ...","2014-04-04T06:34:58Z"
"f265c7de-cae0-4b17-a1f3-f873515a1e5c","BSE Sensex closes 150 pts lower as profit-booking emerges, BHEL shares biggest losers","http://www.financialexpress.com/news/bse-sensex-closes-150-pts-lower-as-profitbooking-emerges-bhel-shares-biggest-losers/1238307/","Financial Express","Telecom major Bharti Airtel suffered a hit of 1.74 per cent, while Tata Motors closed 1.50 per cent lower. Gail India, Wipro, TCS, Sun Pharma and Tata Power lost over 1 per cen each. Among BSE sectoral indices, auto fell by 1.00 per cent, followed by IT at ...","2014-04-04T14:13:06Z"
"8d47b161-7227-4a29-8868-6b015b29e5a2","IT firms' Q4 performance to be muted: Edelweiss","http://www.moneyguruindia.com/article.php?cid=6940","MoneyGuru India","TCS has already indicated de-growth in India revenues for 3Q. After a disappointing 4QFY14 update, Infosys' guidance for FY15 will be closely watched,"" the brokerage said in a report. ""We maintain our constructive view on the medium-to-long term ...","2014-04-04T01:41:29Z"
"ce4a5f31-9107-4ec8-9e2a-f4ca3370b18b","Nifty ends below 6700 levels, Realty stocks bucks trend","http://www.commodityonline.com/news/nifty-ends-below-6700-levels-realty-stocks-bucks-trend-58438-3-58439.html","Commodity Online","From the Nifty weight perspective, key losers were Infosys Ltd (NSE: INFY), Tata Consultancy Services Ltd (NSE: TCS) and Housing Development Finance Corporation Ltd (NSE: HDFC) while key gainers were Ranbaxy Laboratories Ltd (NSE: RANBAXY), Cipla Ltd (NSE ...","2014-04-04T11:28:28Z"
