"ID","Title","Url","Source","Description","Date"
"2e58aca4-131e-487d-9803-2de8ddbd6c6e","Power and Oil & Gas Utilities - Q4FY14 Results Preview - Strong earnings quarter - Centrum","http://www.equitybulls.com/admin/news2006/news_det.asp?id=135946","Equity Bulls","LPG realizations jumped whereas petchem realizations moderated. Our preferred pick remains MRPL and recommend HOLD on Tata Power, Petronet LNG, GAIL and GSPL and SELL on PTC India. - Positive earnings surprises: MRPL, NTPC, Tata Power ...","2014-04-05T08:35:29Z"
"4b6f5222-29dd-4cff-8d85-ad3ab10bc860","BSE Sensex slips from lifetime peak, FIIs remain bullish","http://news.in.msn.com/business/bse-sensex-slips-from-lifetime-peak-fiis-remain-bullish","MSN India","However, BHEL fell by 7.70 per cent, followed by Gail India (4.80 per cent), Tata Power (3.53 per cent), HDFC Bank (2.66 per cent), Axis Bank (2.27 per cent) and ICICI Bank (2.26 per cent). Among the S&P BSE sectoral indices, Realty rose by 6.91 per cent ...","2014-04-05T12:17:23Z"
"76d11d0c-0c99-469c-9cff-97db3b56f2c3","Adani Power to go slow on capacity addition","http://www.domain-b.com/companies/companies_a/Adani_group/20140404_capacity.html","Domain-b","Adani Power, which has overtaken Tata Power as the nation's largest private-sector electricity producer, now plans to slow down on new capacity addition due to uncertainties over fuel supply, weak financial health of state distributors and ...","2014-04-04T16:07:38Z"
"1c365053-9f85-49e3-90db-6d1c37c033bf","Sensex ends 150 pts lower as profit-booking emerges","http://www.dayandnightnews.com/2014/04/sensex-ends-150-pts-lower-as-profit-booking-emerges/","Day & Night News","State-run power producer NTPC also lost 1.95 per cent.Telecom major Bharti Airtel suffered a hit of 1.74 per cent, while Tata Motors closed 1.50 per cent lower. Gail India, Wipro, TCS, Sun Pharma and Tata Power lost over 1 per cen each. Among BSE sectoral ...","2014-04-05T05:43:41Z"
"711cf7d8-9a4a-4a75-b189-5a0482a916b6","Sensex sheds 150 points","http://www.thestatesman.net/news/47776-sensex-sheds-150-points.html","The Statesman","State-run power producer NTPC also lost 1.95 per cent. Telecom major Bharti Airtel suffered a hit of 1.74 per cent, while Tata Motors closed 1.50 per cent lower. Gail India, Wipro, TCS, Sun Pharma and Tata Power lost over one per cent each. Among BSE ...","2014-04-04T20:39:39Z"
"2fa00183-a59b-42cb-b8b6-221da8a41fa5","Indian firms employ over 1 lakh people in UK: report","http://www.topnews.in/indian-firms-employ-over-1-lakh-people-uk-report-2391887","Top News","Indian salt-software conglomerate Tata Group topped the list of top Indian employers in the UK, with its Tata Steel and Tata Motors subsidiaries together generating nearly 60,000 jobs. The report titled ""India Meets Britain: Tracking the UK's Top Indian ...","2014-04-05T06:33:47Z"
"c9afd3ba-f3f5-46be-8c58-24df40ea1c41","Reliance Power's total operational capacity reaches nearly 4000 MW","http://www.steelguru.com/indian_news/Reliance_Powers_total_operational_capacity_reaches_nearly_4000_MW/336188.html","SteelGuru","The Butibori Power Plant, developed by Vidarbha industries Power Limited, a subsidiary of the Company, is fully operational and the entire output from Butibori Power Plant is being supplied to Reliance Infrastructure Limited - Mumbai Distribution Licensee ...","2014-04-05T03:27:40Z"
"bfcbf43d-5647-43af-8da8-327b6016d502","Mahindra Bolero and Scorpio among the top selling SUVs","http://www.cardekho.com/india-car-news/mahindra-bolero-and-scorpio-among-the-top-selling-suvs-12782.htm","Car Dekho","Tata Safari Dicor 2.2 India's first 4×4 SUV ... With only diesel powertrain option, the SUV carries 2.2-litre DICOR engine, which churns a maximum power output of 138bhp and peak torque of 320Nm. This seven seater SUV has an intimidating effect and ...","2014-04-05T14:26:14Z"
"bd9a270a-8fac-4176-b678-3ef38a7a146e","Tata Power to raise total generation capacity by 850 MW","http://www.daijiworld.com/news/news_disp.asp?n_id=226847","Daijiworld","New Delhi, April 3 (IANS): Leading generator and distributor Tata Power Thursday said it is executing projects that would increase the company’s overall generation capacity by nearly 850 MW. ""Tata Power is in the process of executing a number of power ...","2014-04-03T10:46:42Z"
"7b281588-765a-432b-b492-32067b9f20c4","Sensex down more than 150 pts, set to end on weak note","http://www.sify.com/finance/sensex-down-more-than-150-pts-set-to-end-on-weak-note-news-sensex-oeepnWabeag.html","Sify","Bajaj Auto, Maruti Suzuki, Wipro, Infosys, Tata Power, HDFC, Reliance Industries, ONGC, ICICI Bank, Axis Bank and Dr Reddy's Laboratories are also trading weak. HCL Technologies, Power Grid Corporation, Asian Paints, United Spirits, Cairn India ...","2014-04-04T07:53:43Z"
