"ID","Title","Url","Source","Description","Date"
"5dc03c30-9663-4a35-9453-9eee290b0dc1","SBI launches twitter handle","http://news.in.msn.com/business/sbi-launches-twitter-handle","MSN India","Mid-sized private sector lender Kotak Mahindra Bank had last month launched twitter-linked ... The bank expects this Twitter handle to connect better with the tech-savvy young generation.","2014-04-05T12:24:33Z"
"798fd56c-c6c5-47a6-ae88-474caf9ac93c","State Bank of India launches Twitter handle","http://www.domain-b.com/finance/banks/SBI/20140405_twitter.html","Domain-b","This comes after mid-sized private lender Kotak Mahindra Bank last month launched twitter-linked ... With the Twitter handle the lender hopes to connect better with the tech-savvy young generation.","2014-04-05T14:19:05Z"
"f128ba72-49ae-4683-9965-49cf589a36fa","Now, access your SBI account via twitter","http://businesstoday.intoday.in/story/now-access-your-sbi-account-via-twitter/1/204918.html","Business Today","Mid-sized private sector lender Kotak Mahindra Bank had last month launched twitter-linked ... The bank expects this Twitter handle to connect better with the tech-savvy young generation. For more news from Business Today, follow us on Twitter @bt_india ...","2014-04-05T05:50:50Z"
"ed524674-595e-46fc-91aa-c771eb3a568b","Ben Bernanke to visit India on April 15","http://economictimes.indiatimes.com/news/politics-and-nation/former-us-federal-reserve-chairman-ben-bernanke-to-visit-india-on-april-15/articleshow/33255404.cms","Economic Times","Bernanke, who steered the global financial markets and economies out of the great recession of 2008 and is credited with averting a second great depression, will be the chief guest at Kotak Mahindra Bank-organised Kotak Presidium, a thought leadership series.","2014-04-04T23:38:36Z"
"d2b91c9e-ba4d-4947-8958-390a51c86e68","Bank capitalisation a key challenge for sector - Kotak Mahindra MD","https://in.finance.yahoo.com/news/bank-capitalisation-key-challenge-sector-064851735.html","Yahoo Finance India","MUMBAI (Reuters) - Bank capitalisation will be a significant challenge and constraint for Indian lenders in coming years, Kotak Mahindra Bank Ltd (NSI:KOTAKBANK.NS - News) Managing Director Uday Kotak said on Friday. Kotak was speaking at a banking event ...","2014-04-04T06:42:08Z"
"d5559cd9-758d-4de4-9f3a-91bedffac208","Sensex down over 100 pts on global cues; IT, pharma stocks edge higher","http://www.sify.com/finance/sensex-down-over-100-pts-on-global-cues-it-pharma-stocks-edge-higher-news-sensex-oeejV2ijafi.html","Sify","HDFC Bank, Hero Motocorp, Mahindra & Mahindra, Bajaj Auto, Tata Motors, Bharti Airtel, Reliance Industries and HDFC are also trading weak. Asian Paints, BPCL, Ambuja Cements, Ultra Tech Cement, Kotak Bank, Cairn India and ACC are down 1% - 1.5%.","2014-04-04T03:07:23Z"
"7477d3f1-9c7c-4b63-a2dd-b412565145b4","Weekly: Sensex, Nifty ends flat","http://www.indiainfoline.com/Markets/News/Weekly-Sensex-Nifty-ends-flat/5900542109","India Infoline Ltd","The top losers in the IT sector were Financial Tech (down 3.7%), Tech Mahindra (down 1.3%) and HCL Tech (down 0.6%). The BSE Healthcare Index (up 3.1%):The top gainers in the Pharma space were Wockhardt (up 33.6%), Ranbaxy Labs (up 26.3%), Panacea Biotec ...","2014-04-04T09:33:56Z"
"d0c84e53-50b3-476d-97a1-0c216686e23c","Sensex falls 152 points on weak global cues; BHEL, NTPC drag","http://www.newindianexpress.com/business/market_commentary/Sensex-falls-152-points-on-weak-global-cues-BHEL-NTPC-drag/2014/04/04/article2149371.ece","The New Indian Express","On the other hand, Bharat Heavy Electricals (2.00%), NTPC (1.95%), Bharti Airtel (1.85%), G A I L (India) (1.54%), Tata Motors (1.33%), and Mahindra & Mahindra (1.22%) were the biggest losers in the Sensex. Mid & Small-cap Space The BSE Mid and ...","2014-04-04T09:19:37Z"
"799cd7f4-fbfe-48f2-8bcd-2496eff55a14","Tata Opportunities Fund invests Rs 300 cr in Varroc Engineering","http://www.thehindubusinessline.com/companies/tata-opportunities-fund-invests-rs-300-cr-in-varroc-engineering/article5871462.ece","The Hindu Business Line","The group has marquee clients, including Jaguar Land Rover, Ford, Tesla, GM, Volkswagen, Bentley and Nissan, in the global market, and players such as Bajaj, Honda, Yamaha, Hero, Royal Enfield, Mahindra and Tata Motors in the domestic market.","2014-04-04T10:02:34Z"
"9c5f28b0-f577-43e6-8bc1-a4709e501253","Few applicants may be better at differentiated banking: RBI","http://www.moneycontrol.com/news/business/few-applicants-may-be-better-at-differentiated-banking-rbi_1064337.html","Money Control","The RBI has issued bank licences after a gap of 12 years. It last awarded permits to Kotak Mahindra Bank and Yes Bank in 2003-04. The RBI said IDFC and Bandhan were recommended as suitable for grant of ""in-principle"" approval by the high-level advisory ...","2014-04-04T10:02:34Z"
"a33ba559-2dfb-4a7c-aad6-6905e2ed44e0","Indian bonds cap biggest weekly decline since November on supply","http://www.livemint.com/Money/HEfJikXjdRNxR8nFaDT1nL/Indian-bonds-cap-biggest-weekly-decline-since-November-on-su.html","Live Mint","""Bonds are gradually trending toward the oversold zone and one would expect to see some value buying now,"" Lakshmi Iyer, head of fixed income at Kotak Mahindra Asset Management Co. in Mumbai, said in a phone interview on Thursday. The markets will ...","2014-04-04T11:42:47Z"
"11333526-2cdd-4223-a9ad-b543c4978990","Sebi reorganises panel on disclosures, accounting standards","http://www.financialexpress.com/news/sebi-reorganises-panel-on-disclosures-accounting-standards/1238171","Financial Express","Other members are senior executives of Kotak Mahindra Capital Company, SBI Capital Markets, Jubilant Life Sciences, Mahindra & Mahindra and Deloitte Haskins and Sells and the Bombay Shareholders' Association. One of the major terms of reference of this ...","2014-04-03T20:19:22Z"
"2abe5198-6b91-430a-bde6-c215e3a5758b","Honda Activa 125 Launch towards End of April; Bookings, Price Details","http://www.ibtimes.co.in/articles/546679/20140404/honda-activa-125-april-launch-price-bookings.htm","International Business Times","First unveiled at the Delhi Auto Expo, Activa 125 will take on Piaggio's Vespa, Suzuki's Access and Swish, and Mahindra's Duro and Rodeo in India . The Activa 125, the first Honda scooter in the 125cc segment, will come with Honda Efficiency Technology (HET).","2014-04-04T08:36:40Z"
"4272e8cc-d46f-4057-9df9-9a421f240dd8","ICRA ratings for Indian debt instruments-Apr 4","http://in.reuters.com/article/2014/04/04/icra-ratings-idINL4N0MW10120140404","Reuters Group PLC","Ltd. A4 Keltech Energies Ltd Fund Based BBB 80 Reaffirmed Keltech Energies Ltd Non Fund Based BBB 300 Reaffirmed Kotak Mahindra Bank Ltd Upper Tier II Bonds AA 1500 Reaffirmed Programme Kotak Mahindra Bank Ltd Lower Tier II Bonds AA+ 6250 ...","2014-04-04T05:23:23Z"
"350be2a1-95e2-4c48-80d8-77ed39d2a408","IDFC, Bandhan first to get new bank licences","http://www.hindustantimes.com/business-news/idfc-bandhan-first-to-get-new-bank-licences/article1-1203538.aspx","Hindustan Times","""Bank licenses are critical for financial inclusion,"" Chandrajit Banerjee, director general, CII, told HT. Yes Bank and Kotak Mahindra Bank were the last ones to get bank licences in 2003-04. RBI received 27 applications in July 2013 including ...","2014-04-02T17:14:26Z"
"bc223f01-a742-44db-b389-1c0b4272b8fd","Sebi reorganises panel on disclosures, accounting standards","http://www.financialexpress.com/news/sebi-reorganises-panel-on-disclosures-accounting-standards/1238171","Financial Express","Other members are senior executives of Kotak Mahindra Capital Company, SBI Capital Markets, Jubilant Life Sciences, Mahindra & Mahindra and Deloitte Haskins and Sells and the Bombay Shareholders' Association. One of the major terms of reference of this ...","2014-04-03T20:19:22Z"
"a715c009-4d30-4d8e-958d-89d0974bdb05","Honda Activa 125 Launch towards End of April; Bookings, Price Details","http://www.ibtimes.co.in/articles/546679/20140404/honda-activa-125-april-launch-price-bookings.htm","International Business Times","First unveiled at the Delhi Auto Expo, Activa 125 will take on Piaggio's Vespa, Suzuki's Access and Swish, and Mahindra's Duro and Rodeo in India . The Activa 125, the first Honda scooter in the 125cc segment, will come with Honda Efficiency Technology (HET).","2014-04-04T08:36:40Z"
"f973e1a7-bf7f-4682-9699-b495ea8916ba","ICRA ratings for Indian debt instruments-Apr 4","http://in.reuters.com/article/2014/04/04/icra-ratings-idINL4N0MW10120140404","Reuters Group PLC","Ltd. A4 Keltech Energies Ltd Fund Based BBB 80 Reaffirmed Keltech Energies Ltd Non Fund Based BBB 300 Reaffirmed Kotak Mahindra Bank Ltd Upper Tier II Bonds AA 1500 Reaffirmed Programme Kotak Mahindra Bank Ltd Lower Tier II Bonds AA+ 6250 ...","2014-04-04T05:23:23Z"
"679682c8-a231-48d5-892f-aaeb2f221274","IDFC, Bandhan first to get new bank licences","http://www.hindustantimes.com/business-news/idfc-bandhan-first-to-get-new-bank-licences/article1-1203538.aspx","Hindustan Times","""Bank licenses are critical for financial inclusion,"" Chandrajit Banerjee, director general, CII, told HT. Yes Bank and Kotak Mahindra Bank were the last ones to get bank licences in 2003-04. RBI received 27 applications in July 2013 including ...","2014-04-02T17:14:26Z"
"778a9b44-af5f-4056-8a50-0a1f77a7eb12","Theory of rotation which is working in the market: Kunj Bansal","http://economictimes.indiatimes.com/markets/stocks/views/recommendations/theory-of-rotation-which-is-working-in-the-market-kunj-bansal/articleshow/33167593.cms","Economic Times","ET Now: Mahindra & Mahindra and Tata Motors two ends of the spectrum one is export, second is domestic. Tata Motors the domestic business is not doing well, for Mahindra & Mahindra the tractor business is doing well. Can both these stocks move ...","2014-04-03T04:48:47Z"
