"ID","Title","Url","Source","Description","Date"
"ae8f0ea7-34ea-4381-9f81-eb104de74196","EU mergers and takeovers (April 4)","http://in.reuters.com/article/2014/04/04/eu-mergers-takeovers-idINL5N0MW3YE20140404","Reuters Group PLC","Japanese spirits maker Suntory Holdings Ltd to buy U.S. spirits company Beam Inc (notified March 17/deadline April 24) -- Private equity firm Silver Lake to acquire U.S. talent agencies William Morris Endeavour Entertainment LLC and IMG ...","2014-04-04T16:57:45Z"
"8700b4e0-2347-4f4c-9a29-522d92fdff9b","Sam’s Club Extends Contract for Branded Credit Card Program with GE Capital Retail Bank and Converts Co-Branded Cards to MasterCard","https://in.finance.yahoo.com/news/sam-club-extends-contract-branded-120000149.html","Yahoo Finance India","The business, with its lending entity GE Capital Retail Bank, provides customized credit programs for retailers and consumers in the United States. This includes private label and bankcard credit programs for major national, regional and independent ...","2014-04-04T11:57:06Z"
"7a0762b2-4d87-4d00-b374-8fafc095eee8","Long arm of US law nails Andhra MP KVP Ramachandra Rao in bribery case","http://timesofindia.indiatimes.com/india/Long-arm-of-US-law-nails-Andhra-MP-KVP-Ramachandra-Rao-in-bribery-case/articleshow/33148345.cms","Times of India","The indictment also named Gajendra Lal, 50, an Indian national and permanent resident of the United States, who was allegedly the fixer and who recommended whether, and in what manner, to pay certain bribes to government officials. The ...","2014-04-02T23:26:40Z"
"fb2a3581-3a0c-432d-92ec-b6a40b0edd16","Nifty ends above 6,700 for first time","http://profit.ndtv.com/news/market/article-nifty-ends-above-6-700-for-first-time-384238","NDTV","Target Rs 220. Read UBS upgrades Titan to buy. Target Rs 325. Read UBS downgrades United Spirits to sell. Target Rs 2250. Read Bank of America Merrill Lynch maintains buy on Havells. Target Rs 1071. Read 12.15 p.m. Sunil Garg of JP Morgan says ...","2014-03-31T09:17:12Z"
"da551f35-c1af-4179-9438-b44123d5cbe0","RBI keeps repo rate unchanged: Experts' views","http://economictimes.indiatimes.com/et-now/experts/rbi-keeps-repo-rate-unchanged-experts-views/videoshow/33070978.cms","Economic Times","In line with economists and market expectations, RBI Governor Raghuram Rajan kept the repo rate unchanged at 8% in the central bank's monetary policy review. The bank also kept the Cash Reserve Ratio at 4%. Watch experts react to RBI Governor's decision.","2014-04-01T08:25:54Z"
"390815f8-63a0-427e-a2de-ae5c3d95ed3b","Difficult for markets to sustain current rally: U R Bhat, Dalton Capital Advisors","http://articles.economictimes.indiatimes.com/2014-03-28/news/48662627_1_dalton-capital-advisors-u-r-bhat-ur-bhat","The Economic Times","In an interview with ET Now, U R Bhat, MD, Dalton Capital Advisors, shares his views on the markets as well as some sectors and stocks. Excerpts: ET Now: The market is 6.5 per cent up in the month of March. Will the party continue in the month ...","2014-03-28T06:36:07Z"
"5611ce4d-c91f-49f4-8d5a-4017b18685f3","Wisconsin Energy Corp. to receive Regional Spirit Award","http://biztimes.com/article/20140404/ENEWSLETTERS02/140409878/-1/ENEWSLETTERS10","Biz Times","Wisconsin Energy Corp., the Milwaukee-based parent company of We Energies, will be the recipient of the 2014 BizTimes Regional Spirit Award ... School of Business Advisory Council, the United Performing Arts Fund and the United Way of Greater ...","2014-04-05T05:50:50Z"
"048c2a25-14f8-4018-9468-ba71cec7c44f","The giving spirit","http://www.standard-journal.com/news/free/article_3d431810-bc79-11e3-8b34-0019bb2963f4.html","Standard Journal","Kids Against Hunger is the second-largest humanitarian feeding program in the world, behind only the United Nations, according to Yaksich. ""We are distributing food in over 70 countries, and that includes the United States,"" she said.","2014-04-05T00:14:24Z"
"227027be-59b7-4b15-af14-f13b791ac24f","Community leaders honored at United Way luncheon","http://www.delmarvanow.com/article/20140404/NEWS35/304040018/","Delmarva Now","The Safran Labinal Power Systems of Salisbury received the Spirit of the Shore Award that honors businesses with excellence and leadership in community compassion and overall community service. Pete Bugas, board member of the United Way of the ...","2014-04-04T18:52:17Z"
"fd1a330d-cc0b-48f1-a814-b98959cf5b9b","Local Pheasants chapter founder dedicated to cause","http://thecourier.com/opinion/columns/2014/04/05/local-pheasants-chapter-founder-dedicated-to-cause/","Courier","The next day, Todd’s spirit was lifted to a higher plain ... April 13: Ham Shoot, Fostoria United Sportsmen’s Club. Traps open at 10 a.m., 1324 U.S. 23, Fostoria. Abrams is a retired wildlife officer supervisor for the state Division ...","2014-04-05T06:48:06Z"
"12edecfd-03d0-4a22-9b85-3775df375593","Conshohocken Brewing Company opens overlooking Schuylkill River Trail","http://mainlinemedianews.com/articles/2014/04/05/entertainment/doc533b133f4d8d9799756000.txt","Main Line Media News","We carried that same historic American industrial spirit into our branding as well ... ""Back in the mid-1800s, Conshohocken was an industrial force in the United States, particularly with steel production. In fact, from 1898 to 1900 ...","2014-04-05T10:30:01Z"
"5c15972a-4a19-47f7-acc9-661ea70db8ca","Affluent Wine Buyers in Asia Find Their Confidence","http://www.nytimes.com/2014/04/05/business/international/wine-buyers-in-asia-find-their-confidence.html","New York Times","Asians have traditionally been drinkers of whiskey, brandy and local spirits like baijiu ... costing at least $75 a bottle and as much as several thousand United States dollars at the top end, said Christoph Travniczek, a senior manager for ...","2014-04-05T10:01:23Z"
"936673b2-26a6-4e40-b966-561b57e7a367","Lorraine M. Oberli, 91","http://www.herald-journal.com/obits/2014/oberli0329.html","Herald Journal","There, she was employed as a United States government inspector at a Millimeter Shell plant, and at Sunstrand Aviation for a number of years. In 1956, Lorraine and William purchased a farm in Spirit, WI, and farmed for several years. When her husband died ...","2014-04-04T20:03:52Z"
"124c6c8a-b505-4dfe-b093-559c595a58b1","Hamline Law Dean Jean Holloway Joins Dorsey as Of Counsel","http://www.ksl.com/?nid=151&sid=29344491","KSL","With locations across the United States and in Canada ... Top-ranked professors and a spirit of collaboration distinguish the Hamline School of Law, where students are challenged to become competent, professional, and ethical lawyers with a global perspective.","2014-04-04T21:15:26Z"
"f2d67b85-6eec-4120-bd88-d8f9eff9abb6","Fulbright scholar Evan Gage","http://www.hillsdalecollegian.com/2014/04/fulbright-scholar-evan-gage/","Hillsdale Collegian","There, he will teach English language and literature, as well as United States culture ... ""I hope that I can emulate that and create a little sense — a small spirit — of that at whatever odd Turkish university I find myself at.""","2014-04-04T23:38:36Z"
"ddc396f7-39f9-4b2c-b587-0f4fe7c524b3","Affluent Wine Buyers in Asia Find Their Confidence","http://www.nytimes.com/2014/04/05/business/international/wine-buyers-in-asia-find-their-confidence.html","New York Times","Asians have traditionally been drinkers of whiskey, brandy and local spirits like baijiu ... costing at least $75 a bottle and as much as several thousand United States dollars at the top end, said Christoph Travniczek, a senior manager for ...","2014-04-05T10:01:23Z"
"3df276bb-9691-4ea0-a4ea-402b70b25080","Lorraine M. Oberli, 91","http://www.herald-journal.com/obits/2014/oberli0329.html","Herald Journal","There, she was employed as a United States government inspector at a Millimeter Shell plant, and at Sunstrand Aviation for a number of years. In 1956, Lorraine and William purchased a farm in Spirit, WI, and farmed for several years. When her husband died ...","2014-04-04T20:03:52Z"
"d2c0056d-56b5-4e04-aa8b-8e2c36f30403","Hamline Law Dean Jean Holloway Joins Dorsey as Of Counsel","http://www.ksl.com/?nid=151&sid=29344491","KSL","With locations across the United States and in Canada ... Top-ranked professors and a spirit of collaboration distinguish the Hamline School of Law, where students are challenged to become competent, professional, and ethical lawyers with a global perspective.","2014-04-04T21:15:26Z"
"1dde8dad-fb52-44f8-9ef9-1a9c348b7f11","Fulbright scholar Evan Gage","http://www.hillsdalecollegian.com/2014/04/fulbright-scholar-evan-gage/","Hillsdale Collegian","There, he will teach English language and literature, as well as United States culture ... ""I hope that I can emulate that and create a little sense — a small spirit — of that at whatever odd Turkish university I find myself at.""","2014-04-04T23:38:36Z"
"b0a1c061-6d1a-449a-8a40-7e756a5cb39d","Gambia: Young Gambians Learn Entrepreneurial Skills","http://allafrica.com/stories/201404041021.html","AllAfrica","The American Chamber of Commerce, in collaboration with the United States Embassy in The Gambia on Wednesday ... of people with the first comprising people with high entrepreneurial spirit, to explore the development of the country. He added that the ...","2014-04-04T14:41:44Z"
"18a75ac0-73f5-478c-8cc1-7eb81af61f15","Area congregations schedule special services and events","http://www.pottsmerc.com/lifestyle/20140405/area-congregations-schedule-special-services-and-events","The Mercury","Zion’s UCC POTTSTOWN — Pastor Higgins and representatives of Zion’s United Church of Christ ... men from local churches and provides great food for the body and spirit. Morning worship service on Sunday begins at 10:30 a.m. followed ...","2014-04-05T03:41:59Z"
"f8bcdb55-dc37-47d5-84e3-0ab0eb8e4ff4","Britain's manufacturing workforce may soon be gone altogether, with little to remember them by","http://www.theguardian.com/commentisfree/2014/apr/05/britain-manufacturing-workforce-soon-gone-altogether","theguardian.com","I don't think it cost him much – I imagine about 10 times the original two-shilling cover price – and I received it in the spirit I imagined it was given ... The last time the United Kingdom exported more goods than it imported was 1983.","2014-04-05T06:19:28Z"
"aec13dc2-aba1-44cc-a39c-ccb4450437af","Crime and punishment","http://www.nzherald.co.nz/politics/news/article.cfm?c_id=280&objectid=11232970","New Zealand Herald","Last October in the United Kingdom, Christopher Hyman ... Back at the public women's prison in Auckland, many inmates appear to welcome the new spirit of free enterprise. Some are allowed out on a daily basis to cater food for builders at the nearby ...","2014-04-05T15:44:58Z"
"69381492-9ee2-4bf8-bcac-d9ed0fdc9fca","Two Historic Credit Unions Join Forces to Give Ontarians Clear Alternative to Big Banks","http://www.sacbee.com/2014/04/04/6295353/two-historic-credit-unions-join.html","TheSacramento Bee","The outcome will be a credit union with increased entrepreneurship, skills, services and capacity that will maintain their local brands, personalities and local community spirit through a federated operating structure. Duncan Munn, Chair of ...","2014-04-04T12:54:22Z"
"cfa0a530-123c-46e3-a091-3bac599b537f","Spirit Airlines sees no short-term shortage of pilots","http://www.cnbc.com/id/101552129","CNBC","WASHINGTON, April 3 (Reuters) - The chief executive of discount carrier Spirit Airlines said on Thursday he has no concerns about pilot availability in United States for next couple of years, but is worried about staffing in the longer term. ""We're ...","2014-04-03T14:14:17Z"
"92437551-f40e-45f4-8fd3-4d5422106fa7","Why economists should try to measure happiness","http://www.fool.com/m.aspx?i=58903129","The Week Magazine","In this phase, economics was seen as a mechanism, rather than a human endeavor subject to what Keynes called the ""animal spirits."" The economists therefore ... brilliant nature of our own minds."" In the United States, Daniel Kahneman and Alan Krueger ...","2014-04-05T05:15:03Z"
"96a54c80-bb43-47e0-b3ce-093b159f4a44","Can a liqueur really taste like daisies?","http://www.marketwatch.com/story/can-a-liqueur-really-taste-like-daisies-2014-04-04","Market Watch","The Dutch spirit giant Bols put ""daises in a glass"" with its ... Appearance of stronger hiring masks unemployment woes U.S. creates 192,000 jobs in March The United States created 192,000 jobs in March as hiring rebounded in the early ...","2014-04-04T18:30:48Z"
"47c2a8a1-6b96-430c-b7fd-051531e39dd5","ASCC Plans to Expand Brand Exposure in U.S. Auto Racing Market","http://finance.yahoo.com/news/ascc-plans-expand-brand-exposure-093700081.html","Yahoo Finance","Auto racing is an integral part of ASCC’s current and future plans to support its spirits products ... culminating in Prototype Class sessions for the IMSA TUDOR United SportsCar Championship last winter. Thoroughly pleased with the remarkable ...","2014-04-04T09:33:56Z"
"47a78fe9-6c3d-4e28-baa4-8e9cf89222ef","Cleveland Park Bar & Grill owners to launch BBQ joint in Pulpo space","http://www.washingtonpost.com/blogs/going-out-guide/wp/2014/04/04/cleveland-park-bar-grill-owners-to-launch-bbq-joint-in-pulpo-space/","Washington Post","They also plan to offer cocktails, though likely not the highfalutin kind with housemade bitters and infused spirits. Balish is thinking more along the moonshine level. The owners hope to have their new business up and running by June. As for the name ...","2014-04-05T00:07:14Z"
"dde5b6f5-bf30-46ac-afb8-c5162f1cc644","How Nigeria will become Africa's biggest economy","http://www.bbc.co.uk/news/world-africa-26873233","BBC","The BBC's Matthew Davies explains how rebasing works. What is rebasing? The United Nations defines rebasing as the ""process of replacing present price structure [base year] to compile volume measures of GDP with a new or more recent base year"".","2014-04-04T19:06:36Z"
"3b746a64-7a58-4bf3-81aa-65890b0fb9c1","How Nigeria will become Africa's biggest economy","http://www.bbc.co.uk/news/world-africa-26873233","BBC","The BBC's Matthew Davies explains how rebasing works. What is rebasing? The United Nations defines rebasing as the ""process of replacing present price structure [base year] to compile volume measures of GDP with a new or more recent base year"".","2014-04-04T19:06:36Z"
"d14c23b7-6763-47bd-8236-b08a2673ce35","O’Hare unveils overhaul of international terminal","http://www.washingtontimes.com/news/2014/apr/4/ohare-unveils-overhaul-of-international-terminal/","Washington Times","""Terminal 5 reflects our city’s distinct style and spirit, placing Chicago at the center of the global tourism conversation,"" Emanuel said. Among new offerings are a spa, a local gourmet deli called The Goddess & Grocer and a restaurant ...","2014-04-04T17:19:13Z"
"7ca8a671-472c-42fa-ae77-a1ffc5a72400","Cement groups Lafarge, Holcim in $50 billion-plus merger talks","http://au.news.yahoo.com/thewest/business/a/-/world/22392942/cement-groups-lafarge-holcim-in-50-billion-plus-merger-talks/","7 News Yahoo","But any deal is likely to draw scrutiny from European competition watchdogs, as a Lafarge-Holcim entity would have a dominant position in both Europe and the United States. Regulators would probably require the companies to shed cement plants and ...","2014-04-04T21:01:07Z"
"64225bd7-af41-4cfa-b4cf-88616d749008","Portland General Electric Schedules Earnings Release and Conference Call for Tuesday, April 29","http://www.streetinsider.com/Press+Releases/Portland+General+Electric+Schedules+Earnings+Release+and+Conference+Call+for+Tuesday%2C+April+29/9354898.html","StreetInsider","Portland General Electric’s first quarter 2014 earnings summary will be released before financial markets open in the United States on April 29. The conference call will be hosted by Jim Piro, president and CEO; Jim Lobdell, senior vice president ...","2014-04-04T20:39:39Z"
"035f0313-9c17-4db4-930e-b2c8392b0cb6","Palatial estate on five-acre parcel in Southwest Ranches","http://www.miamiherald.com/2014/04/04/4039011/palatial-estate-on-five-acre-parcel.html","The Miami Herald","Planned in collaboration with designer and builder William Tunney and landscape architect Krent Wieland, Palazzo Paradiso was crafted in the spirit of famed American resort architect Addison Mizner, reflecting an elegant Mediterranean revival ...","2014-04-04T16:29:07Z"
"542deb86-2492-4b52-9048-ffd822cc300d","Content about Acquisition","http://chainstoreage.com/topics/Acquisition","Chain Store Age","In a deal that would combine the two largest mid-tier jewelry chains in the United States, Signet Jewelers Ltd. has agreed to buy rival Zale Corp. February 7, 2014 KKR & Co. to acquire National Vision Inc. Private equity firm KKR & Co. will acquire ...","2014-04-04T21:58:23Z"
