"ID","Title","Url","Source","Description","Date"
"5015dd21-0883-4945-a1b1-baf3b48727c7","Sensex ends 150 pts lower as profit-booking emerges","http://www.dayandnightnews.com/2014/04/sensex-ends-150-pts-lower-as-profit-booking-emerges/","Day & Night News","Gail India, Wipro, TCS, Sun Pharma and Tata Power lost over 1 per cen each. Among BSE sectoral indices, auto fell by 1.00 per cent, followed by IT at 0.95 per cent, teck 0.92 per cent, power 0.83 per cent and consumer goods 0.74 per cent.Realty bucked the ...","2014-04-05T05:43:41Z"
"945ccbdf-f687-4d33-a471-b80d6ec8ab66","Sensex registers marginal gain during the week","http://www.newkerala.com/news/2014/fullnews-33954.html","New Kerala","Tata Steel gained by 5.51 pc. Bharti Airtel shed by 0.39 pc. Wipro rose by 0.31 pc. Coal India declined by 1.36 pc. Tata Motors gained by 2.18 pc. Mahindra & Mahindra (M&M) gained by 3.08 pc to Rs 997.05. Hero MotoCorp rose by 0.06 pc.","2014-04-05T06:40:57Z"
"7cc33253-bb4d-4629-930f-045285f6870b","Sensex sheds 150 points","http://www.thestatesman.net/news/47776-sensex-sheds-150-points.html","The Statesman","Telecom major Bharti Airtel suffered a hit of 1.74 per cent, while Tata Motors closed 1.50 per cent lower. Gail India, Wipro, TCS, Sun Pharma and Tata Power lost over one per cent each. Among BSE sectoral indices, auto fell by 1.00 per cent, followed by IT ...","2014-04-04T20:39:39Z"
"f021b645-5992-4f24-83ff-93779b602811","Sensex ends 149 points down; IT stocks hit","http://www.greaterkashmir.com/news/2014/Apr/5/sensex-ends-149-points-down-it-stocks-hit-23.asp","Greater Kashmir","In 30-BSE index components 25 stocks declined while five ended with gains. Major losers were Infosys, Tata Consultancy Services, Wipro, Reliance Industries, Bajaj Auto, Bharti Airtel, BHEL, GAIL India, HDFC, ICICI Bank, ITC and Larsen and Toubro.","2014-04-04T18:16:29Z"
"4093225e-860d-4d13-9919-e1919650bc2a","Sensex ends 150 points lower as profit-booking emerges","http://www.dailypioneer.com/business/sensex-ends-150-points-lower-as-profit-booking-emerges.html","The Pioneer","Telecom major Bharti Airtel suffered a hit of 1.74 per cent, while Tata Motors closed 1.50 per cent lower. Gail India, Wipro, TCS, Sun Pharma and Tata Power lost over 1 per cen each. Among BSE sectoral indices, auto fell by 1.00 per cent ...","2014-04-04T17:12:04Z"
"65e57cc1-7bbb-4c72-a0a1-1b048edc796e","Sensex drops 149 points on profit-booking","http://www.thehindu.com/business/markets/sensex-drops-149-points-on-profitbooking/article5871683.ece","The Hindu","In 30-BSE index components 25 stocks declined while five ended with gains. Major losers were Infosys, Tata Consultancy Services, Wipro, Reliance Industries, Bajaj Auto, Bharti Airtel, BHEL, GAIL India, HDFC, ICICI Bank, ITC and Larsen and Toubro.","2014-04-04T11:28:28Z"
"2c085358-3fb2-4036-9a0c-8e602e284011","Sensex drops 149 pts on profit-booking; IT stocks hit","http://www.deccanherald.com/content/396718/sensex-drops-149-pts-profit.html","Deccan Herald","In 30-BSE index components 25 stocks declined while five ended with gains. Major losers were Infosys, Tata Consultancy Services, Wipro, Reliance Industries, Bajaj Auto, Bharti Airtel, BHEL, GAIL India, HDFC, ICICI Bank, ITC and Larsen and Toubro.","2014-04-04T10:31:12Z"
"74724d29-7ec0-45d2-a7b2-87b4a1c16a63","Sensex down more than 150 pts, set to end on weak note","http://www.sify.com/finance/sensex-down-more-than-150-pts-set-to-end-on-weak-note-news-sensex-oeepnWabeag.html","Sify","Bajaj Auto, Maruti Suzuki, Wipro, Infosys, Tata Power, HDFC, Reliance Industries, ONGC, ICICI Bank, Axis Bank and Dr Reddy's Laboratories are also trading weak. HCL Technologies, Power Grid Corporation, Asian Paints, United Spirits, Cairn India ...","2014-04-04T07:53:43Z"
"d61b3f58-26d7-4e7e-9fb2-d724789591cb","Nifty falls below 6700; ITC, Reliance, HDFC, ICICI drag","http://www.moneycontrol.com/news/local-markets/nifty-falls-below-6700-itc-reliance-hdfc-icici-drag_1064297.html","Money Control","IT majors Infosys, TCS and Wipro plummeted 0.4-0.7 percent. Shares of state-run BHEL, GAIL and NTPC fell 1.5-2 percent. However, Cipla bucked the trend, rising nearly 2 percent followed by Tata Steel, Hindalco and Coal India with 0.4-0.8 percent.","2014-04-04T08:58:08Z"
"9a7cd3ce-c9c8-43b7-9a0b-e045ced37703","Sensex down 77 points; Capital goods, oil & gas stocks major losers","http://news.in.msn.com/business/sensex-down-77-points-capital-goods-oil-and-gas-stocks-major-losers","MSN India","Hindalco, Cipla, Tata Steel, Wipro and SBI were the top five Sensex gainers, while the top five losers were BHEL, GAIL, Bharti Airtel, ONGC and L&T. Asian stocks swung between gains and losses amid low trading volume, leaving the regional gauge on course ...","2014-04-04T09:05:18Z"
"7b2223a3-2582-4717-87f8-606f7046f994","Sensex remains lower; auto, power drag","http://www.newindianexpress.com/business/market_commentary/Sensex-remains-lower-auto-power-drag/2014/04/04/article2149308.ece","The New Indian Express","It was followed by Oil & Natural Gas Corporation (4.55 points), D L F (2.31 points), Tata Steel (1.74 points) and Wipro (1.4 points). Biggest gainers in the 30-share index were Cipla (1.75%), State Bank Of India (0.69%), Tata Steel (0.61%), Oil ...","2014-04-04T07:32:14Z"
"31f2bad3-6e36-4b3d-856e-332590229e2b","Markets blink in face of US job data","http://www.rediff.com/business/slide-show/slide-show-1-how-the-markets-fared-on-apr-4/20140404.htm","Rediff India Abroad","BHEL, NTPC, Bharti Airtel, Tata Motors and Gail India up 1.5-2% were the major losers. Bajaj Auto, Wipro, TCS, Sun Pharma, Tata Power, L&T and HDFC down 1-1.4% were some of the other prominent losers. Index heavyweights, Reliance Industries ...","2014-04-04T10:59:50Z"
"f1cf719a-19be-4d98-b9c2-395a98cd06cb","BSE Sensex closes 150 pts lower as profit-booking emerges, BHEL shares biggest losers","http://www.financialexpress.com/news/bse-sensex-closes-150-pts-lower-as-profitbooking-emerges-bhel-shares-biggest-losers/1238307/","Financial Express","Telecom major Bharti Airtel suffered a hit of 1.74 per cent, while Tata Motors closed 1.50 per cent lower. Gail India, Wipro, TCS, Sun Pharma and Tata Power lost over 1 per cen each. Among BSE sectoral indices, auto fell by 1.00 per cent, followed by IT at ...","2014-04-04T14:13:06Z"
"b5ad2952-01d8-485f-aa81-a00b5e6a6bb9","Sensex declines for second day, erases weekly advance","http://www.livemint.com/Money/POKZ4qOJDfiwhKL5LrG7PP/Sensex-falls-60-points-on-weak-Asian-stock-markets.html","Live Mint","Tata Motors decreased 1.5%, the biggest loss since 18 March. Wipro Ltd, the third-biggest software services provider, slid 1.3%. The Sensex has climbed 5.6% this year and trades at 14.1 times projected 12-month earnings, compared with the MSCI Emerging ...","2014-04-04T04:18:58Z"
"4c646c84-aaa3-4922-ba9d-51827db3e79f","Stock market live: Sensex down over 150 points, Nifty below 6700","http://profit.ndtv.com/news/market/article-stock-market-live-sensex-down-over-150-points-nifty-below-6700-384675","NDTV","Gainers include IT and pharma stocks, both of which are up tracking losses in the rupee. Wipro, HCL Tech, Sun Pharma, Lupin and TCS are the top five gainers on the Nifty. (Track top gainers) 09.15 a.m. Markets open with muted gains, but there's ...","2014-04-04T07:25:05Z"
"7eba5f4e-5197-44ed-a912-bfae0ff727f6","Sensex falls in early trade; mid and small-caps gain","http://www.newindianexpress.com/business/market_commentary/Sensex-falls-in-early-trade-mid-and-small-caps-gain/2014/04/04/article2149072.ece","The New Indian Express","However, Tata Consultancy Services contributed rise of 5.65 points in the Sensex. It was followed by Infosys (4.33 points), Wipro (2.99 points), D L F (1.13 points) and Hindalco Industries (1.01 points). Major gainers in the 30-share index were ...","2014-04-04T03:00:13Z"
"134cd2ef-c28f-46e2-8488-db3e690a1338","BSE Sensex closes 150 pts lower as profit-booking emerges, BHEL shares biggest losers","http://www.financialexpress.com/news/bse-sensex-closes-150-pts-lower-as-profitbooking-emerges-bhel-shares-biggest-losers/1238307/","Financial Express","Telecom major Bharti Airtel suffered a hit of 1.74 per cent, while Tata Motors closed 1.50 per cent lower. Gail India, Wipro, TCS, Sun Pharma and Tata Power lost over 1 per cen each. Among BSE sectoral indices, auto fell by 1.00 per cent, followed by IT at ...","2014-04-04T14:13:06Z"
"af5856df-6e3e-4599-adf1-d32479299555","Sensex declines for second day, erases weekly advance","http://www.livemint.com/Money/POKZ4qOJDfiwhKL5LrG7PP/Sensex-falls-60-points-on-weak-Asian-stock-markets.html","Live Mint","Tata Motors decreased 1.5%, the biggest loss since 18 March. Wipro Ltd, the third-biggest software services provider, slid 1.3%. The Sensex has climbed 5.6% this year and trades at 14.1 times projected 12-month earnings, compared with the MSCI Emerging ...","2014-04-04T04:18:58Z"
"7cd27e15-5ecf-4b52-b541-8de17397794e","Stock market live: Sensex down over 150 points, Nifty below 6700","http://profit.ndtv.com/news/market/article-stock-market-live-sensex-down-over-150-points-nifty-below-6700-384675","NDTV","Gainers include IT and pharma stocks, both of which are up tracking losses in the rupee. Wipro, HCL Tech, Sun Pharma, Lupin and TCS are the top five gainers on the Nifty. (Track top gainers) 09.15 a.m. Markets open with muted gains, but there's ...","2014-04-04T07:25:05Z"
"4005b35e-f186-405d-a5fe-ca8022583dd4","Sebi reorganises panel on disclosures, accounting standards","http://www.financialexpress.com/story-print/1238171","Financial Express","The 17-member expert panel is been chaired by Tata Sons' director-finance Ishaat Hussain, while other members include Wipro CFO and executive director Suresh Senapaty and NSE managing director & CEO Chitra Ramkrishna, Comptroller & Auditor ...","2014-04-03T20:19:22Z"
"cbda381e-3393-41f7-a963-3847e4e48fce","Bond built by travels to remotest parts","http://www.telegraphindia.com/1140404/jsp/frontpage/story_18154072.jsp","The Telegraph","It’s a world that seems far away from his state-of-the-art office at Salt Lake’s Sector V with its imposing, glass-fronted buildings that house some of the biggest names in the corporate world: IBM, Wipro and Cognizant. Bandhan is a world that is built ...","2014-04-03T21:59:35Z"
"0eb08727-847a-488c-8d40-7bf85b3ade00","Symphony Teleca bolsters software products","http://www.indiainfoline.com/Markets/News/symphony-teleca/5898800061","India Infoline Ltd","Before that, Sunil was a practice leader with Deloitte Consulting and held several leadership positions with Wipro to build its retail and consumer business in North America. ""We are thrilled to have both Uday and Sunil on board and look forward to their ...","2014-04-02T10:33:34Z"
"77266516-3dce-4631-ae57-7a5adaa275e1","Opening Bell 2 April | New bank licence hopefuls to be buoyant","http://www.livemint.com/Money/vSMZaqX2QGsk5qbveGPKGM/Opening-Bell-2-April--New-bank-license-hopefuls-to-be-buoya.html","Live Mint","Maruti Suzuki India Ltd reported a 5.2% drop in domestic sales year-on-year, while M&M sales dropped 9% in March. Wipro Ltd’s shares will be in limelight as it has undertaken a top-level reshuffle, its second in six months. Wipro has merged two ...","2014-04-02T02:05:20Z"
"688adcb5-5771-427f-9c00-993ffab0df51","India Mortgage Guarantee Corporation","http://economictimes.indiatimes.com/topic/India-Mortgage-Guarantee-Corporation","Economic Times","Sensex rallies over 100 points; top ten stocks in focus ET The Sensex which was trading in a narrow range, picked up momentum in trade and rallied over 100 pts, led by gains in TCS, Wipro, ITC and ICICI Bank. Hitendra Chaturvedi's Rs 100 crore company ...","2014-04-01T23:56:29Z"
"2eb17438-6ce6-472a-b93d-2824d8d1d39a","Sensex, Nifty touch record highs, close flat","http://www.smetimes.in/smetimes/news/indian-economy-news/2014/Apr/01/stock-markets630839.html","SME Times","The realty index lost 86.49 points. The major Sensex gainers were: Wipro, up 3.30 percent at Rs.560.50; Sesa Sterlite, up 2.08 percent at Rs.191.85, Tata Consultancy Services, up 2.08 percent at Rs.2,172.45, Tata Steel, up 1.89 percent at Rs.401.30 ...","2014-04-01T04:51:09Z"
